GeneID	g1_01	g1_02	g1_03	g3_01	g3_02	g3_03
FBgn0002521	227	223	231	235	207	268
FBgn0004607	489	383	415	374	322	539
FBgn0004624	618	590	616	636	566	548
FBgn0004859	679	670	570	631	542	871
FBgn0005558	35	35	28	27	33	36
FBgn0005561	49	57	52	61	30	35
FBgn0005666	984	1757	1479	674	713	447
FBgn0010217	2815	4152	3529	2244	2431	1981
FBgn0011642	373	337	343	374	353	373
FBgn0011747	813	816	834	925	832	911
FBgn0013749	150	177	168	191	210	179
FBgn0016126	507	429	448	554	637	568
FBgn0017545	3776	3610	3819	3736	4647	4273
FBgn0019650	59	54	52	64	61	60
FBgn0019985	49	48	37	57	29	32
FBgn0022361	154	146	146	150	149	171
FBgn0023213	1163	1124	1123	1202	1293	1114
FBgn0024728	257	266	232	311	219	261
FBgn0024811	248	229	258	235	253	237
FBgn0024913	76	79	54	51	62	76
FBgn0025726	960	1005	955	1014	931	1012
FBgn0025740	252	248	194	228	166	236
FBgn0025741	791	836	762	807	734	845
FBgn0025936	450	468	429	494	415	457
FBgn0026199	240	214	240	259	261	279
FBgn0026262	548	492	536	607	510	537
FBgn0026777	325	302	300	344	362	300
FBgn0026869	622	586	601	654	589	599
FBgn0027101	341	346	330	390	385	368
FBgn0028996	133	133	130	142	99	163
FBgn0039889	136	117	138	125	133	125
FBgn0039890	342	339	390	384	366	382
FBgn0039896	147	133	149	62	75	103
FBgn0039897	277	480	429	317	291	218
FBgn0039900	100	74	84	68	53	63
FBgn0039902	251	257	278	244	286	237
FBgn0039904	430	452	438	483	415	510
FBgn0039905	100	115	76	106	84	112
FBgn0039907	345	383	371	392	330	415
FBgn0039908	268	294	265	281	214	231
FBgn0039909	388	551	462	343	329	281
FBgn0039911	44	50	43	40	33	41
FBgn0039914	210	224	189	201	181	202
FBgn0039915	73	130	113	26	38	34
FBgn0039916	32	35	31	33	25	27
FBgn0039920	175	207	175	217	149	222
FBgn0039923	406	443	398	418	397	414
FBgn0039924	213	186	208	234	233	241
FBgn0039925	9	3	9	5	8	0
FBgn0039927	161	168	168	183	169	168
FBgn0039928	902	896	898	965	933	918
FBgn0039929	127	159	143	150	136	136
FBgn0039930	25	22	27	19	20	25
FBgn0039932	14	8	12	10	13	12
FBgn0039936	629	646	628	646	663	676
FBgn0039937	8	3	5	3	1	3
FBgn0039938	173	189	150	175	121	139
FBgn0039939	0	0	0	0	1	0
FBgn0040037	11	31	27	24	0	26
FBgn0040324	266	265	274	307	263	294
FBgn0041005	42	39	42	39	35	40
FBgn0042696	140	245	203	166	113	106
FBgn0051992	1086	1212	1119	1200	1025	1170
FBgn0051997	469	501	453	277	518	421
FBgn0051998	445	371	349	414	348	364
FBgn0051999	216	245	215	219	195	205
FBgn0052000	731	663	602	753	615	644
FBgn0052006	12	25	24	20	14	20
FBgn0052009	0	1	0	0	0	0
FBgn0052010	4	2	1	2	3	3
FBgn0052011	0	0	0	0	0	0
FBgn0052016	345	353	371	387	338	374
FBgn0052017	89	79	76	88	67	82
FBgn0052021	44	26	29	52	32	37
FBgn0052850	160	120	153	118	124	150
FBgn0053481	59	61	42	46	56	66
FBgn0053653	239	298	260	301	233	287
FBgn0053797	0	0	1	0	0	0
FBgn0053978	1084	1041	1017	1139	1172	953
FBgn0067895	194	198	240	238	218	212
FBgn0069921	1	0	1	0	1	0
FBgn0083990	2	5	5	0	3	2
FBgn0085432	225	200	199	221	158	228
FBgn0087002	11566	8374	10484	10917	13613	13143
FBgn0250819	260	371	401	177	220	142
FBgn0259214	1302	1566	1411	1398	1342	1223
FBgn0259216	38	28	27	25	27	24
