Module	Section	Sample Name	Source
QualiMap	rna_genome_results	g3_03	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g3_03/rnaseq_qc_results.txt
QualiMap	rna_genome_results	g1_02	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g1_02/rnaseq_qc_results.txt
QualiMap	rna_genome_results	g3_02	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g3_02/rnaseq_qc_results.txt
QualiMap	rna_genome_results	g1_01	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g1_01/rnaseq_qc_results.txt
QualiMap	rna_genome_results	g1_03	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g1_03/rnaseq_qc_results.txt
QualiMap	rna_genome_results	g3_01	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g3_01/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	g3_03	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g3_03/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	g1_02	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g1_02/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	g3_02	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g3_02/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	g1_01	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g1_01/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	g1_03	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g1_03/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	g3_01	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/qc_qualimap/g3_01/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
STAR	SummaryLog	g3_01	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g3_01_Log.final.out
STAR	SummaryLog	g3_03	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g3_03_Log.final.out
STAR	SummaryLog	g1_02	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g1_02_Log.final.out
STAR	SummaryLog	g1_03	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g1_03_Log.final.out
STAR	SummaryLog	g3_02	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g3_02_Log.final.out
STAR	SummaryLog	g1_01	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g1_01_Log.final.out
STAR	ReadsPerGene	g3_03	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g3_03_ReadsPerGene.out.tab
STAR	ReadsPerGene	g1_03	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g1_03_ReadsPerGene.out.tab
STAR	ReadsPerGene	g3_02	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g3_02_ReadsPerGene.out.tab
STAR	ReadsPerGene	g1_02	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g1_02_ReadsPerGene.out.tab
STAR	ReadsPerGene	g3_01	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g3_01_ReadsPerGene.out.tab
STAR	ReadsPerGene	g1_01	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/Mapping/alignments_STAR/g1_01_ReadsPerGene.out.tab
