#Transcript position	Transcript coverage profile
0.0	55.3750317710559
1.0	59.830406879652
2.0	61.88153394695472
3.0	64.35516957322837
4.0	65.64310744330001
5.0	66.67336714653618
6.0	67.58178284679276
7.0	67.37686497641013
8.0	66.43421262495067
9.0	67.42288907709205
10.0	67.75485757272426
11.0	67.87042251709762
12.0	68.20370356375535
13.0	67.59349423661989
14.0	71.21340893460697
15.0	79.70530084239438
16.0	80.04608475663187
17.0	81.65688136387445
18.0	82.06416458179706
19.0	93.9828077645901
20.0	98.0228359734958
21.0	99.33115548752232
22.0	100.02174225579449
23.0	97.50855756538306
24.0	96.01362563947278
25.0	93.63377812588087
26.0	91.4748724743153
27.0	89.85774940298711
28.0	89.25922608961855
29.0	89.94408580834833
30.0	87.45180805787439
31.0	85.29940948377505
32.0	81.07096901108544
33.0	70.47238380572254
34.0	61.03112303408148
35.0	57.33481930317116
36.0	56.28568742959437
37.0	56.56033689416216
38.0	55.8336185340571
39.0	55.449397104126994
40.0	55.020262916092015
41.0	57.12530749753484
42.0	59.441762735965256
43.0	60.912073433329184
44.0	61.51128001843653
45.0	60.24470543893787
46.0	59.38284129986716
47.0	60.831384665303226
48.0	61.25025417972307
49.0	64.2837999089474
50.0	66.55249957747458
51.0	70.23196033560629
52.0	75.24471872994333
53.0	78.64461914145214
54.0	83.06040930067454
55.0	87.17316440475643
56.0	86.02502273132465
57.0	86.55243185321294
58.0	88.66597054514979
59.0	90.34886200489888
60.0	88.4359022151954
61.0	84.7333644766874
62.0	83.35583089893069
63.0	85.5269876879586
64.0	83.74774166172962
65.0	84.02263861836197
66.0	84.00541668475498
67.0	85.82518137738046
68.0	86.95617427210925
69.0	86.2598903239541
70.0	85.11619331002724
71.0	83.59678540621238
72.0	81.63333174974944
73.0	79.97356783363037
74.0	81.91318977373906
75.0	84.63094761755377
76.0	83.40065712826527
77.0	81.26012476669408
78.0	82.510910617388
79.0	83.39231068775138
80.0	83.7812262073027
81.0	85.21243267516338
82.0	86.52641648398557
83.0	89.25355079675572
84.0	88.64920788889701
85.0	88.91003086472173
86.0	87.36149021953028
87.0	89.1860528380419
88.0	87.2413991615298
89.0	88.14633485849738
90.0	89.67262635856598
91.0	93.13821187668262
92.0	84.70449296899764
93.0	77.7693289413458
94.0	72.09315807940375
95.0	60.76141864191946
96.0	43.64360100112605
97.0	36.67380939754082
98.0	25.27427495054561
99.0	5.877822229060051
