#Transcript position	Transcript coverage profile
0.0	52.32416859504029
1.0	56.98110314959735
2.0	59.78339710647231
3.0	62.59339483785765
4.0	64.48460725615381
5.0	64.71995134653623
6.0	65.21407655070037
7.0	65.56450057232648
8.0	65.25675732926139
9.0	66.41395992532307
10.0	66.28896665670636
11.0	66.58821041971702
12.0	66.77930656681264
13.0	64.96162019100856
14.0	68.33303742949727
15.0	77.83574969486043
16.0	77.70855083763604
17.0	78.69351593686213
18.0	78.56552582616848
19.0	91.84327634942849
20.0	94.49286016704878
21.0	95.013291526246
22.0	95.61054239636074
23.0	92.79289119934788
24.0	90.76349424375913
25.0	88.3905327806906
26.0	86.84238937567682
27.0	85.87580380654025
28.0	85.77664545534675
29.0	86.2722751881359
30.0	84.27846204697644
31.0	82.74538960545756
32.0	79.55116479632825
33.0	71.11341768366708
34.0	61.71107063958844
35.0	58.64291182196091
36.0	57.46483660986448
37.0	56.663145330883694
38.0	56.44489675899889
39.0	57.85257902164151
40.0	57.997128196237455
41.0	58.73414593974049
42.0	60.63410654639409
43.0	62.29867949562305
44.0	62.220398975466146
45.0	61.81442064369808
46.0	62.219345829488304
47.0	62.3655716207727
48.0	62.66861981608296
49.0	64.60504512197458
50.0	65.87470668193032
51.0	69.50344090587801
52.0	73.19005608394698
53.0	75.49592590756335
54.0	78.89854131738234
55.0	82.64576991073608
56.0	83.06059948482057
57.0	83.74675772267972
58.0	86.93276296669923
59.0	88.27012666095928
60.0	88.45998972476976
61.0	86.87833018706236
62.0	84.41095711451355
63.0	84.86415848245571
64.0	83.89342624841875
65.0	83.8397668609592
66.0	84.42586159661809
67.0	86.05100916668238
68.0	86.42603103217255
69.0	86.91261667699095
70.0	87.18291586236666
71.0	85.25779292709242
72.0	83.36662327366255
73.0	81.45642054739105
74.0	83.04551330941146
75.0	85.60255100509762
76.0	84.35374227327763
77.0	82.86302666865556
78.0	86.78499864876393
79.0	89.83915613615976
80.0	90.55446618591291
81.0	91.77031278442827
82.0	92.3430905081792
83.0	94.16601304175813
84.0	92.15165523551276
85.0	90.92588563599837
86.0	88.95725304700781
87.0	89.33330888901679
88.0	87.29818189888579
89.0	88.48368709811537
90.0	89.64284327622123
91.0	93.37555054295059
92.0	85.58681379911809
93.0	79.06378929430475
94.0	75.08519270954916
95.0	64.16065700688391
96.0	47.13363033253233
97.0	39.222433738932445
98.0	25.988246646564583
99.0	6.253320060952128
