Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
g1_01_R1	(1, 31.9144)	(2, 31.96082)	(3, 31.9352)	(4, 35.46902)	(5, 35.40122)	(6, 35.3944)	(7, 35.44022)	(8, 35.39318)	(9, 37.03632)	(10, 36.91704)	(12, 36.920159999999996)	(14, 38.18806)	(16, 38.14796)	(18, 38.12361)	(20, 38.11466)	(22, 38.07841)	(24, 38.01412)	(26, 37.956010000000006)	(28, 37.90429)	(30, 37.85723)	(32, 37.743660000000006)	(34, 37.67291)	(36, 37.58986)	(38, 37.53461)	(40, 37.417910000000006)	(42, 37.31888)	(44, 37.20489)	(46, 37.09448)	(48, 36.97919)	(50, 36.77494)	(52, 36.60275)	(54, 36.354380000000006)	(56, 36.09164)	(58, 35.81259)	(60, 35.54164)	(62, 35.19452)	(64, 34.79016)	(66, 34.40154)	(68, 34.013369999999995)	(70, 33.59344)	(72, 33.164010000000005)	(74, 32.72551)	(76, 31.86686)	(78, 32.18548)	(80, 32.05467)	(82, 31.76809)	(84, 31.56396)	(86, 31.356)	(88, 31.08052)	(90, 30.907339999999998)	(92, 30.709490000000002)	(94, 30.39758)	(96, 29.95971)	(98, 29.363030000000002)	(100, 25.83542)
g1_01_R2	(1, 31.54072)	(2, 31.62024)	(3, 31.68978)	(4, 35.1775)	(5, 35.16244)	(6, 35.16554)	(7, 35.28448)	(8, 35.22092)	(9, 36.83034)	(10, 36.74462)	(12, 36.71776)	(14, 37.97688)	(16, 37.98277)	(18, 37.94248)	(20, 37.93005)	(22, 37.8824)	(24, 37.84798)	(26, 37.74337)	(28, 37.65981)	(30, 37.58971)	(32, 37.51205)	(34, 37.43222)	(36, 37.32655)	(38, 37.25953)	(40, 37.11549)	(42, 36.91488)	(44, 36.737809999999996)	(46, 36.62962)	(48, 36.43786)	(50, 35.58128)	(52, 35.77561)	(54, 36.08864)	(56, 35.953410000000005)	(58, 35.61889)	(60, 35.37119)	(62, 35.06266)	(64, 34.6185)	(66, 34.23413)	(68, 33.92916)	(70, 33.42908)	(72, 33.01393)	(74, 32.59022)	(76, 32.19704)	(78, 31.86013)	(80, 31.57227)	(82, 31.14849)	(84, 30.83399)	(86, 30.50703)	(88, 30.1267)	(90, 29.88164)	(92, 29.55098)	(94, 29.23322)	(96, 28.81335)	(98, 28.16646)	(100, 24.20246)
g1_02_R1	(1, 32.06888)	(2, 32.11526)	(3, 32.1831)	(4, 35.63156)	(5, 35.5515)	(6, 35.5638)	(7, 35.5971)	(8, 35.52344)	(9, 37.19314)	(10, 37.112880000000004)	(12, 37.10483)	(14, 38.40576)	(16, 38.388850000000005)	(18, 38.39966)	(20, 38.37222)	(22, 38.32152)	(24, 38.28351000000001)	(26, 38.195769999999996)	(28, 38.13064)	(30, 38.09173)	(32, 38.03793)	(34, 37.93105)	(36, 37.872659999999996)	(38, 37.79909)	(40, 37.71760999999999)	(42, 37.59317)	(44, 37.483050000000006)	(46, 37.3823)	(48, 37.2722)	(50, 37.10566)	(52, 36.887460000000004)	(54, 36.659459999999996)	(56, 36.39769)	(58, 36.10404)	(60, 35.77581)	(62, 35.45479)	(64, 35.03254)	(66, 34.63182)	(68, 34.23734)	(70, 33.82548)	(72, 33.3881)	(74, 33.00286)	(76, 32.12706)	(78, 32.4109)	(80, 32.287890000000004)	(82, 32.03019)	(84, 31.83441)	(86, 31.64227)	(88, 31.39759)	(90, 31.22768)	(92, 31.027639999999998)	(94, 30.74431)	(96, 30.382260000000002)	(98, 29.75825)	(100, 26.12048)
g1_02_R2	(1, 31.7345)	(2, 31.79908)	(3, 31.87198)	(4, 35.36234)	(5, 35.32604)	(6, 35.36456)	(7, 35.43242)	(8, 35.41058)	(9, 37.01734)	(10, 36.95348)	(12, 36.927490000000006)	(14, 38.238569999999996)	(16, 38.2278)	(18, 38.21197)	(20, 38.19713)	(22, 38.13349)	(24, 38.05969)	(26, 38.008520000000004)	(28, 37.91763)	(30, 37.8587)	(32, 37.77149)	(34, 37.71562)	(36, 37.59406)	(38, 37.52866)	(40, 37.40952)	(42, 37.204260000000005)	(44, 36.99275)	(46, 36.885009999999994)	(48, 36.69445)	(50, 35.838390000000004)	(52, 36.02928)	(54, 36.35352)	(56, 36.19054)	(58, 35.85437)	(60, 35.5566)	(62, 35.23433)	(64, 34.80472)	(66, 34.37162)	(68, 34.05761)	(70, 33.574020000000004)	(72, 33.16508)	(74, 32.71943)	(76, 32.34148999999999)	(78, 32.02452)	(80, 31.75741)	(82, 31.33234)	(84, 31.0235)	(86, 30.73194)	(88, 30.34871)	(90, 30.06458)	(92, 29.75296)	(94, 29.432319999999997)	(96, 29.03915)	(98, 28.39486)	(100, 24.28576)
g1_03_R1	(1, 32.0124)	(2, 32.0633)	(3, 31.97964)	(4, 35.53902)	(5, 35.47422)	(6, 35.48022)	(7, 35.52722)	(8, 35.48786)	(9, 37.11812)	(10, 37.03306)	(12, 37.02733)	(14, 38.32415)	(16, 38.30195)	(18, 38.29376)	(20, 38.2919)	(22, 38.2455)	(24, 38.20067)	(26, 38.11891)	(28, 38.054280000000006)	(30, 38.011089999999996)	(32, 37.913920000000005)	(34, 37.84151)	(36, 37.77926)	(38, 37.69834)	(40, 37.62478)	(42, 37.50872)	(44, 37.3791)	(46, 37.28698)	(48, 37.21486)	(50, 37.013369999999995)	(52, 36.80306)	(54, 36.595299999999995)	(56, 36.34186)	(58, 36.05312000000001)	(60, 35.72855)	(62, 35.3917)	(64, 34.98335)	(66, 34.59761)	(68, 34.22669)	(70, 33.83187)	(72, 33.37777)	(74, 32.946290000000005)	(76, 32.09845)	(78, 32.40649)	(80, 32.28092)	(82, 32.02299)	(84, 31.81821)	(86, 31.63124)	(88, 31.35705)	(90, 31.18455)	(92, 31.00774)	(94, 30.71895)	(96, 30.309919999999998)	(98, 29.74534)	(100, 26.2116)
g1_03_R2	(1, 31.62666)	(2, 31.71302)	(3, 31.76294)	(4, 35.26174)	(5, 35.2319)	(6, 35.26842)	(7, 35.33888)	(8, 35.3028)	(9, 36.92578)	(10, 36.85418)	(12, 36.81218)	(14, 38.135310000000004)	(16, 38.09182)	(18, 38.09495)	(20, 38.049369999999996)	(22, 38.01388)	(24, 37.95855)	(26, 37.87117)	(28, 37.79002)	(30, 37.73562)	(32, 37.66336)	(34, 37.557050000000004)	(36, 37.462559999999996)	(38, 37.36583)	(40, 37.22708)	(42, 37.061400000000006)	(44, 36.83907)	(46, 36.74771)	(48, 36.53178)	(50, 35.709810000000004)	(52, 35.889430000000004)	(54, 36.192859999999996)	(56, 36.01478)	(58, 35.750550000000004)	(60, 35.43741)	(62, 35.14492)	(64, 34.72467)	(66, 34.31517)	(68, 34.0021)	(70, 33.521209999999996)	(72, 33.11378)	(74, 32.68263)	(76, 32.28918)	(78, 31.94437)	(80, 31.647840000000002)	(82, 31.251669999999997)	(84, 30.96236)	(86, 30.653509999999997)	(88, 30.27003)	(90, 30.03161)	(92, 29.73632)	(94, 29.42914)	(96, 29.019399999999997)	(98, 28.33836)	(100, 24.36816)
g3_01_R1	(1, 32.06602)	(2, 32.10792)	(3, 32.15534)	(4, 35.62328)	(5, 35.55224)	(6, 35.52056)	(7, 35.57756)	(8, 35.51518)	(9, 37.14424)	(10, 37.06465)	(12, 37.0727)	(14, 38.352239999999995)	(16, 38.33609)	(18, 38.315690000000004)	(20, 38.30767)	(22, 38.2565)	(24, 38.24177)	(26, 38.13932)	(28, 38.0762)	(30, 38.02154)	(32, 37.955290000000005)	(34, 37.896100000000004)	(36, 37.84804)	(38, 37.76245)	(40, 37.6853)	(42, 37.54808)	(44, 37.42394)	(46, 37.35159)	(48, 37.23648)	(50, 37.04337)	(52, 36.83868)	(54, 36.63646)	(56, 36.35946)	(58, 36.080690000000004)	(60, 35.80498)	(62, 35.48892)	(64, 35.05683)	(66, 34.641909999999996)	(68, 34.28958)	(70, 33.85486)	(72, 33.40975)	(74, 33.0034)	(76, 32.13489)	(78, 32.4643)	(80, 32.329319999999996)	(82, 32.05868)	(84, 31.86125)	(86, 31.67225)	(88, 31.403460000000003)	(90, 31.24564)	(92, 31.023870000000002)	(94, 30.7404)	(96, 30.36428)	(98, 29.74481)	(100, 26.18734)
g3_01_R2	(1, 31.65742)	(2, 31.74058)	(3, 31.79784)	(4, 35.26904)	(5, 35.24342)	(6, 35.29124)	(7, 35.36454)	(8, 35.3349)	(9, 36.95536)	(10, 36.88738)	(12, 36.85163)	(14, 38.142669999999995)	(16, 38.11285)	(18, 38.142070000000004)	(20, 38.11956)	(22, 38.05037)	(24, 37.98145)	(26, 37.91915)	(28, 37.8513)	(30, 37.79381)	(32, 37.678979999999996)	(34, 37.621539999999996)	(36, 37.522800000000004)	(38, 37.43031)	(40, 37.32327)	(42, 37.123909999999995)	(44, 36.94245)	(46, 36.856989999999996)	(48, 36.63829)	(50, 35.80944)	(52, 35.98851)	(54, 36.27006)	(56, 36.1321)	(58, 35.86385)	(60, 35.575599999999994)	(62, 35.27287)	(64, 34.848479999999995)	(66, 34.44158)	(68, 34.13475)	(70, 33.62647)	(72, 33.194689999999994)	(74, 32.80381)	(76, 32.39725)	(78, 32.05991)	(80, 31.759520000000002)	(82, 31.34897)	(84, 31.06073)	(86, 30.731029999999997)	(88, 30.34442)	(90, 30.097459999999998)	(92, 29.775779999999997)	(94, 29.40447)	(96, 29.03414)	(98, 28.3928)	(100, 24.42214)
g3_02_R1	(1, 32.06326)	(2, 32.1017)	(3, 32.1582)	(4, 35.60522)	(5, 35.52428)	(6, 35.50356)	(7, 35.54824)	(8, 35.48536)	(9, 37.1396)	(10, 37.03397)	(12, 37.0212)	(14, 38.33829)	(16, 38.30225)	(18, 38.307959999999994)	(20, 38.307919999999996)	(22, 38.24862)	(24, 38.20368)	(26, 38.12526)	(28, 38.093239999999994)	(30, 38.006730000000005)	(32, 37.965180000000004)	(34, 37.883039999999994)	(36, 37.8067)	(38, 37.719660000000005)	(40, 37.65813)	(42, 37.54263)	(44, 37.4173)	(46, 37.34175)	(48, 37.2298)	(50, 37.05176)	(52, 36.857)	(54, 36.63653)	(56, 36.397310000000004)	(58, 36.139520000000005)	(60, 35.80924)	(62, 35.48854)	(64, 35.05502)	(66, 34.65211)	(68, 34.28507)	(70, 33.886269999999996)	(72, 33.48272)	(74, 33.01901)	(76, 32.164910000000006)	(78, 32.46446)	(80, 32.32255000000001)	(82, 32.06347)	(84, 31.88525)	(86, 31.65043)	(88, 31.410400000000003)	(90, 31.233060000000002)	(92, 31.02335)	(94, 30.74739)	(96, 30.39707)	(98, 29.78331)	(100, 26.21772)
g3_02_R2	(1, 31.68382)	(2, 31.76514)	(3, 31.80146)	(4, 35.28438)	(5, 35.27452)	(6, 35.28174)	(7, 35.37716)	(8, 35.3409)	(9, 36.95054)	(10, 36.88082)	(12, 36.81826)	(14, 38.14587)	(16, 38.12497)	(18, 38.12914)	(20, 38.10471)	(22, 38.05601)	(24, 37.99826)	(26, 37.925439999999995)	(28, 37.84545)	(30, 37.78691)	(32, 37.697900000000004)	(34, 37.62037)	(36, 37.50316)	(38, 37.40218)	(40, 37.29554)	(42, 37.11498)	(44, 36.9471)	(46, 36.84662)	(48, 36.62995)	(50, 35.81905)	(52, 35.984539999999996)	(54, 36.269499999999994)	(56, 36.11875)	(58, 35.856449999999995)	(60, 35.555679999999995)	(62, 35.26444)	(64, 34.82728)	(66, 34.410830000000004)	(68, 34.121750000000006)	(70, 33.64772)	(72, 33.20069)	(74, 32.76719)	(76, 32.389)	(78, 32.06797)	(80, 31.78556)	(82, 31.40675)	(84, 31.085169999999998)	(86, 30.7907)	(88, 30.42802)	(90, 30.18168)	(92, 29.88993)	(94, 29.51325)	(96, 29.11123)	(98, 28.446460000000002)	(100, 24.4411)
