Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
g1_01_R1	(2.0, 148.0)	(3.0, 67.0)	(4.0, 58.0)	(5.0, 49.0)	(6.0, 30.0)	(7.0, 40.0)	(8.0, 60.0)	(9.0, 51.0)	(10.0, 64.0)	(11.0, 89.0)	(12.0, 95.0)	(13.0, 105.0)	(14.0, 97.0)	(15.0, 140.0)	(16.0, 131.0)	(17.0, 137.0)	(18.0, 130.0)	(19.0, 131.0)	(20.0, 146.0)	(21.0, 177.0)	(22.0, 184.0)	(23.0, 216.0)	(24.0, 257.0)	(25.0, 316.0)	(26.0, 404.0)	(27.0, 561.0)	(28.0, 619.0)	(29.0, 848.0)	(30.0, 981.0)	(31.0, 1225.0)	(32.0, 1673.0)	(33.0, 2135.0)	(34.0, 2919.0)	(35.0, 4403.0)	(36.0, 7416.0)	(37.0, 13152.0)	(38.0, 9720.0)	(39.0, 1024.0)	(40.0, 2.0)
g1_01_R2	(2.0, 286.0)	(3.0, 82.0)	(4.0, 42.0)	(5.0, 38.0)	(6.0, 35.0)	(7.0, 48.0)	(8.0, 53.0)	(9.0, 66.0)	(10.0, 93.0)	(11.0, 92.0)	(12.0, 107.0)	(13.0, 121.0)	(14.0, 120.0)	(15.0, 156.0)	(16.0, 164.0)	(17.0, 167.0)	(18.0, 175.0)	(19.0, 186.0)	(20.0, 221.0)	(21.0, 227.0)	(22.0, 232.0)	(23.0, 257.0)	(24.0, 326.0)	(25.0, 373.0)	(26.0, 449.0)	(27.0, 526.0)	(28.0, 739.0)	(29.0, 872.0)	(30.0, 1032.0)	(31.0, 1382.0)	(32.0, 1688.0)	(33.0, 2199.0)	(34.0, 3082.0)	(35.0, 4474.0)	(36.0, 7527.0)	(37.0, 12372.0)	(38.0, 9039.0)	(39.0, 952.0)	
g1_02_R1	(2.0, 122.0)	(3.0, 80.0)	(4.0, 36.0)	(5.0, 30.0)	(6.0, 29.0)	(7.0, 30.0)	(8.0, 42.0)	(9.0, 51.0)	(10.0, 43.0)	(11.0, 62.0)	(12.0, 79.0)	(13.0, 81.0)	(14.0, 105.0)	(15.0, 121.0)	(16.0, 108.0)	(17.0, 123.0)	(18.0, 154.0)	(19.0, 118.0)	(20.0, 123.0)	(21.0, 154.0)	(22.0, 167.0)	(23.0, 165.0)	(24.0, 272.0)	(25.0, 309.0)	(26.0, 358.0)	(27.0, 485.0)	(28.0, 568.0)	(29.0, 749.0)	(30.0, 929.0)	(31.0, 1227.0)	(32.0, 1489.0)	(33.0, 1965.0)	(34.0, 2821.0)	(35.0, 4300.0)	(36.0, 7508.0)	(37.0, 13543.0)	(38.0, 10281.0)	(39.0, 1173.0)	
g1_02_R2	(2.0, 226.0)	(3.0, 50.0)	(4.0, 41.0)	(5.0, 36.0)	(6.0, 47.0)	(7.0, 39.0)	(8.0, 56.0)	(9.0, 62.0)	(10.0, 84.0)	(11.0, 102.0)	(12.0, 114.0)	(13.0, 124.0)	(14.0, 120.0)	(15.0, 136.0)	(16.0, 135.0)	(17.0, 143.0)	(18.0, 163.0)	(19.0, 194.0)	(20.0, 187.0)	(21.0, 182.0)	(22.0, 224.0)	(23.0, 253.0)	(24.0, 296.0)	(25.0, 326.0)	(26.0, 421.0)	(27.0, 504.0)	(28.0, 662.0)	(29.0, 789.0)	(30.0, 1024.0)	(31.0, 1331.0)	(32.0, 1633.0)	(33.0, 2091.0)	(34.0, 2948.0)	(35.0, 4381.0)	(36.0, 7629.0)	(37.0, 13011.0)	(38.0, 9246.0)	(39.0, 990.0)	
g1_03_R1	(2.0, 147.0)	(3.0, 71.0)	(4.0, 34.0)	(5.0, 34.0)	(6.0, 25.0)	(7.0, 40.0)	(8.0, 52.0)	(9.0, 51.0)	(10.0, 66.0)	(11.0, 71.0)	(12.0, 84.0)	(13.0, 89.0)	(14.0, 115.0)	(15.0, 104.0)	(16.0, 120.0)	(17.0, 124.0)	(18.0, 133.0)	(19.0, 114.0)	(20.0, 152.0)	(21.0, 132.0)	(22.0, 186.0)	(23.0, 192.0)	(24.0, 228.0)	(25.0, 324.0)	(26.0, 412.0)	(27.0, 467.0)	(28.0, 603.0)	(29.0, 773.0)	(30.0, 940.0)	(31.0, 1162.0)	(32.0, 1538.0)	(33.0, 2020.0)	(34.0, 2867.0)	(35.0, 4174.0)	(36.0, 7230.0)	(37.0, 13444.0)	(38.0, 10501.0)	(39.0, 1181.0)	
g1_03_R2	(2.0, 253.0)	(3.0, 63.0)	(4.0, 42.0)	(5.0, 50.0)	(6.0, 44.0)	(7.0, 57.0)	(8.0, 56.0)	(9.0, 87.0)	(10.0, 87.0)	(11.0, 108.0)	(12.0, 121.0)	(13.0, 125.0)	(14.0, 132.0)	(15.0, 144.0)	(16.0, 139.0)	(17.0, 163.0)	(18.0, 171.0)	(19.0, 178.0)	(20.0, 202.0)	(21.0, 185.0)	(22.0, 224.0)	(23.0, 273.0)	(24.0, 301.0)	(25.0, 376.0)	(26.0, 430.0)	(27.0, 537.0)	(28.0, 598.0)	(29.0, 844.0)	(30.0, 974.0)	(31.0, 1283.0)	(32.0, 1580.0)	(33.0, 2234.0)	(34.0, 2979.0)	(35.0, 4357.0)	(36.0, 7480.0)	(37.0, 12572.0)	(38.0, 9567.0)	(39.0, 984.0)	
g3_01_R1	(2.0, 147.0)	(3.0, 81.0)	(4.0, 34.0)	(5.0, 28.0)	(6.0, 21.0)	(7.0, 30.0)	(8.0, 39.0)	(9.0, 41.0)	(10.0, 55.0)	(11.0, 78.0)	(12.0, 97.0)	(13.0, 93.0)	(14.0, 121.0)	(15.0, 117.0)	(16.0, 112.0)	(17.0, 109.0)	(18.0, 150.0)	(19.0, 131.0)	(20.0, 134.0)	(21.0, 130.0)	(22.0, 133.0)	(23.0, 191.0)	(24.0, 204.0)	(25.0, 287.0)	(26.0, 417.0)	(27.0, 512.0)	(28.0, 570.0)	(29.0, 766.0)	(30.0, 963.0)	(31.0, 1149.0)	(32.0, 1561.0)	(33.0, 1980.0)	(34.0, 2743.0)	(35.0, 4247.0)	(36.0, 7310.0)	(37.0, 13401.0)	(38.0, 10652.0)	(39.0, 1165.0)	(40.0, 1.0)
g3_01_R2	(2.0, 261.0)	(3.0, 59.0)	(4.0, 37.0)	(5.0, 41.0)	(6.0, 38.0)	(7.0, 35.0)	(8.0, 53.0)	(9.0, 82.0)	(10.0, 60.0)	(11.0, 97.0)	(12.0, 100.0)	(13.0, 106.0)	(14.0, 130.0)	(15.0, 142.0)	(16.0, 138.0)	(17.0, 150.0)	(18.0, 171.0)	(19.0, 177.0)	(20.0, 180.0)	(21.0, 218.0)	(22.0, 221.0)	(23.0, 246.0)	(24.0, 338.0)	(25.0, 321.0)	(26.0, 455.0)	(27.0, 539.0)	(28.0, 667.0)	(29.0, 841.0)	(30.0, 997.0)	(31.0, 1244.0)	(32.0, 1624.0)	(33.0, 2147.0)	(34.0, 2915.0)	(35.0, 4324.0)	(36.0, 7566.0)	(37.0, 12718.0)	(38.0, 9590.0)	(39.0, 971.0)	(40.0, 1.0)
g3_02_R1	(2.0, 141.0)	(3.0, 92.0)	(4.0, 49.0)	(5.0, 35.0)	(6.0, 21.0)	(7.0, 41.0)	(8.0, 56.0)	(9.0, 54.0)	(10.0, 73.0)	(11.0, 67.0)	(12.0, 93.0)	(13.0, 103.0)	(14.0, 78.0)	(15.0, 125.0)	(16.0, 126.0)	(17.0, 128.0)	(18.0, 114.0)	(19.0, 135.0)	(20.0, 129.0)	(21.0, 168.0)	(22.0, 168.0)	(23.0, 170.0)	(24.0, 248.0)	(25.0, 305.0)	(26.0, 400.0)	(27.0, 462.0)	(28.0, 546.0)	(29.0, 710.0)	(30.0, 864.0)	(31.0, 1097.0)	(32.0, 1509.0)	(33.0, 1993.0)	(34.0, 2801.0)	(35.0, 4075.0)	(36.0, 7274.0)	(37.0, 13396.0)	(38.0, 11002.0)	(39.0, 1152.0)	
g3_02_R2	(2.0, 281.0)	(3.0, 69.0)	(4.0, 53.0)	(5.0, 42.0)	(6.0, 51.0)	(7.0, 48.0)	(8.0, 53.0)	(9.0, 65.0)	(10.0, 101.0)	(11.0, 115.0)	(12.0, 106.0)	(13.0, 99.0)	(14.0, 107.0)	(15.0, 138.0)	(16.0, 168.0)	(17.0, 169.0)	(18.0, 166.0)	(19.0, 167.0)	(20.0, 182.0)	(21.0, 188.0)	(22.0, 187.0)	(23.0, 233.0)	(24.0, 285.0)	(25.0, 339.0)	(26.0, 391.0)	(27.0, 490.0)	(28.0, 686.0)	(29.0, 763.0)	(30.0, 1023.0)	(31.0, 1290.0)	(32.0, 1603.0)	(33.0, 2101.0)	(34.0, 2831.0)	(35.0, 4258.0)	(36.0, 7374.0)	(37.0, 12892.0)	(38.0, 9836.0)	(39.0, 1050.0)	
g3_03_R1	(2.0, 148.0)	(3.0, 69.0)	(4.0, 43.0)	(5.0, 34.0)	(6.0, 31.0)	(7.0, 33.0)	(8.0, 44.0)	(9.0, 49.0)	(10.0, 61.0)	(11.0, 78.0)	(12.0, 74.0)	(13.0, 101.0)	(14.0, 93.0)	(15.0, 122.0)	(16.0, 89.0)	(17.0, 127.0)	(18.0, 119.0)	(19.0, 157.0)	(20.0, 129.0)	(21.0, 136.0)	(22.0, 148.0)	(23.0, 202.0)	(24.0, 219.0)	(25.0, 318.0)	(26.0, 364.0)	(27.0, 508.0)	(28.0, 588.0)	(29.0, 735.0)	(30.0, 990.0)	(31.0, 1241.0)	(32.0, 1534.0)	(33.0, 2055.0)	(34.0, 2729.0)	(35.0, 4133.0)	(36.0, 7330.0)	(37.0, 13334.0)	(38.0, 10631.0)	(39.0, 1203.0)	(40.0, 1.0)
