Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
g1_01_R1	(1.0, 64.16199999999999)	(2.0, 13.66)	(3.0, 5.94)	(4.0, 3.4479999999999995)	(5.0, 2.53)	(6.0, 1.932)	(7.0, 1.302)	(8.0, 1.1520000000000001)	(9.0, 0.756)	('>10', 4.997999999999999)	('>50', 0.12)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_01_R2	(1.0, 63.964)	(2.0, 13.816)	(3.0, 5.970000000000001)	(4.0, 3.5680000000000005)	(5.0, 2.36)	(6.0, 1.8239999999999998)	(7.0, 1.26)	(8.0, 1.1360000000000001)	(9.0, 0.918)	('>10', 5.08)	('>50', 0.104)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_02_R1	(1.0, 66.43)	(2.0, 13.644)	(3.0, 5.6160000000000005)	(4.0, 3.2079999999999997)	(5.0, 2.0)	(6.0, 1.548)	(7.0, 1.568)	(8.0, 0.88)	(9.0, 0.774)	('>10', 4.216)	('>50', 0.116)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_02_R2	(1.0, 66.95400000000001)	(2.0, 13.475999999999999)	(3.0, 5.406)	(4.0, 3.3680000000000003)	(5.0, 2.06)	(6.0, 1.3679999999999999)	(7.0, 1.106)	(8.0, 0.976)	(9.0, 0.8999999999999999)	('>10', 4.386)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_03_R1	(1.0, 63.959999999999994)	(2.0, 13.868)	(3.0, 5.795999999999999)	(4.0, 3.36)	(5.0, 2.63)	(6.0, 1.68)	(7.0, 1.652)	(8.0, 1.216)	(9.0, 1.008)	('>10', 4.83)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_03_R2	(1.0, 64.354)	(2.0, 13.724)	(3.0, 5.8500000000000005)	(4.0, 3.592)	(5.0, 2.42)	(6.0, 1.6320000000000001)	(7.0, 1.26)	(8.0, 1.1039999999999999)	(9.0, 0.828)	('>10', 5.124)	('>50', 0.11199999999999999)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_01_R1	(1.0, 65.342)	(2.0, 13.719999999999999)	(3.0, 5.808)	(4.0, 3.104)	(5.0, 2.29)	(6.0, 1.764)	(7.0, 1.358)	(8.0, 0.752)	(9.0, 1.08)	('>10', 4.574)	('>50', 0.208)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_01_R2	(1.0, 65.546)	(2.0, 13.588000000000001)	(3.0, 5.952)	(4.0, 3.304)	(5.0, 2.46)	(6.0, 1.548)	(7.0, 1.428)	(8.0, 0.88)	(9.0, 0.792)	('>10', 4.502)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_02_R1	(1.0, 60.306000000000004)	(2.0, 13.584)	(3.0, 5.958)	(4.0, 4.232)	(5.0, 2.56)	(6.0, 2.244)	(7.0, 1.512)	(8.0, 1.424)	(9.0, 1.26)	('>10', 6.816)	('>50', 0.104)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_02_R2	(1.0, 60.538000000000004)	(2.0, 13.655999999999999)	(3.0, 6.114)	(4.0, 3.888)	(5.0, 2.5)	(6.0, 2.004)	(7.0, 1.638)	(8.0, 1.376)	(9.0, 1.098)	('>10', 7.054)	('>50', 0.134)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_03_R1	(1.0, 62.68)	(2.0, 13.483999999999998)	(3.0, 6.0600000000000005)	(4.0, 3.272)	(5.0, 2.5100000000000002)	(6.0, 1.944)	(7.0, 1.26)	(8.0, 1.488)	(9.0, 1.1159999999999999)	('>10', 6.0600000000000005)	('>50', 0.126)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_03_R2	(1.0, 62.894000000000005)	(2.0, 13.416)	(3.0, 5.874)	(4.0, 3.4160000000000004)	(5.0, 2.48)	(6.0, 1.6199999999999999)	(7.0, 1.54)	(8.0, 1.248)	(9.0, 1.224)	('>10', 6.069999999999999)	('>50', 0.218)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
