Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
g1_01_R1	24.575999999999993	41.0	100.0	100	10.0	0.049999999999999996
g1_01_R2	24.688000000000002	41.0	100.0	100	10.0	0.049999999999999996
g1_02_R1	22.695999999999998	41.0	100.0	100	10.0	0.049999999999999996
g1_02_R2	22.340000000000003	41.0	100.0	100	10.0	0.049999999999999996
g1_03_R1	24.701999999999998	41.0	100.0	100	10.0	0.049999999999999996
g1_03_R2	24.414	41.0	100.0	100	10.0	0.049999999999999996
g3_01_R1	23.598	41.0	100.0	100	10.0	0.049999999999999996
g3_01_R2	23.38799999999999	41.0	100.0	100	10.0	0.049999999999999996
g3_02_R1	27.998000000000005	40.0	100.0	100	10.0	0.049999999999999996
g3_02_R2	27.793999999999997	40.0	100.0	100	10.0	0.049999999999999996
g3_03_R1	26.018	40.0	100.0	100	10.0	0.049999999999999996
g3_03_R2	25.912000000000006	40.0	100.0	100	10.0	0.049999999999999996
