Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
g1_01-trimmed-pair1	(1, 32.128393399824596)	(2, 32.16830855208142)	(3, 32.13844867323421)	(4, 35.6993819984091)	(5, 35.66670745885089)	(6, 35.66283220135022)	(7, 35.70880499296335)	(8, 35.67566134328663)	(9, 37.339921271084464)	(10, 37.23765526525118)	(12, 37.251116686042955)	(14, 38.55435558546982)	(16, 38.525372738583286)	(18, 38.50855616063962)	(20, 38.506944869363025)	(22, 38.475545085561606)	(24, 38.417426421097716)	(26, 38.36808827428665)	(28, 38.325613412470176)	(30, 38.2929286748659)	(32, 38.196893675171836)	(34, 38.14021293520162)	(36, 38.07492133399529)	(38, 38.03540649820003)	(40, 37.940324390470764)	(42, 37.86609400940877)	(44, 37.78561176440941)	(46, 37.69422312979998)	(48, 37.61104138656835)	(50, 37.450874917869456)	(52, 37.3048102148323)	(54, 37.10700361189029)	(56, 36.88072276382268)	(58, 36.636042094277656)	(60, 36.40249249595723)	(62, 36.11229519011778)	(64, 35.76174053531217)	(66, 35.42169438180805)	(68, 35.07800102622737)	(70, 34.712308607130566)	(72, 34.33440567475732)	(74, 33.95165128643078)	(76, 33.11639363933472)	(78, 33.485148923224436)	(80, 33.42408129554263)	(82, 33.20931217137394)	(84, 33.082736007193844)	(86, 32.96281800803291)	(88, 32.80199050102517)	(90, 32.77191197695251)	(92, 32.77379015793638)	(94, 32.768566526391254)	(96, 32.80693440579745)	(98, 32.93447655055927)	(100, 30.967665735331472)
g1_01-trimmed-pair2	(1, 31.829182728589203)	(2, 31.916743152012074)	(3, 31.985355605865916)	(4, 35.50368149462563)	(5, 35.496583654571786)	(6, 35.50980032225826)	(7, 35.6222235819617)	(8, 35.570070774439614)	(9, 37.219910665116565)	(10, 37.136715005404966)	(12, 37.12890330212731)	(14, 38.42065920169695)	(16, 38.425513471618835)	(18, 38.39213526688287)	(20, 38.38655693569112)	(22, 38.34578514756573)	(24, 38.31838299781762)	(26, 38.21965571396521)	(28, 38.14760651859103)	(30, 38.08924310102185)	(32, 38.025189173754306)	(34, 37.95573028207795)	(36, 37.86609771652668)	(38, 37.82847457320296)	(40, 37.71135328356584)	(42, 37.553361092554674)	(44, 37.41734958721524)	(46, 37.35027461086418)	(48, 37.20666274309066)	(50, 36.38076885224094)	(52, 36.615463486107146)	(54, 36.98787944403104)	(56, 36.904783250715255)	(58, 36.625852137886376)	(60, 36.42258892007682)	(62, 36.17168371395347)	(64, 35.784770022062574)	(66, 35.459368017095116)	(68, 35.222857369277506)	(70, 34.78138098748936)	(72, 34.43056890763381)	(74, 34.06481344209993)	(76, 33.74646436550805)	(78, 33.50199573153627)	(80, 33.31693285584469)	(82, 32.98933381227876)	(84, 32.7812116870934)	(86, 32.58792715255192)	(88, 32.36364765116444)	(90, 32.32248424888429)	(92, 32.24097982235827)	(94, 32.28178565007613)	(96, 32.440426993300804)	(98, 32.732587006623426)	(100, 30.5312440748666)
g1_02-trimmed-pair1	(1, 32.236833011484904)	(2, 32.28212216688688)	(3, 32.35286106311617)	(4, 35.81666836060575)	(5, 35.76306535216994)	(6, 35.78327065758715)	(7, 35.827299522309175)	(8, 35.76357353389572)	(9, 37.46525053359081)	(10, 37.38969407460108)	(12, 37.38756987498729)	(14, 38.71143408883016)	(16, 38.702693363146665)	(18, 38.71564183351967)	(20, 38.69437951011282)	(22, 38.6527492631365)	(24, 38.620581359894295)	(26, 38.53781888403293)	(28, 38.47462140461429)	(30, 38.445380628112616)	(32, 38.40216485415184)	(34, 38.312247179591424)	(36, 38.27032982585171)	(38, 38.208534626727555)	(40, 38.155497581211954)	(42, 38.04601559047462)	(44, 37.95653504892104)	(46, 37.87587382677335)	(48, 37.79473401683606)	(50, 37.665470395878955)	(52, 37.48128608088168)	(54, 37.29486523894221)	(56, 37.07093116527322)	(58, 36.817871187265695)	(60, 36.53638712521589)	(62, 36.249093082255)	(64, 35.86201370741331)	(66, 35.50739679474506)	(68, 35.16140304382902)	(70, 34.79050742091183)	(72, 34.39472483750833)	(74, 34.06808135419894)	(76, 33.21915574236144)	(78, 33.556997339575425)	(80, 33.50091334802538)	(82, 33.30385323551951)	(84, 33.178701227227215)	(86, 33.08042183954165)	(88, 32.95360938873375)	(90, 32.907368030358754)	(92, 32.878264287993275)	(94, 32.84648616395961)	(96, 32.91612645769771)	(98, 33.02856621060265)	(100, 30.965002005615723)
g1_02-trimmed-pair2	(1, 31.97017989633093)	(2, 32.04636650066064)	(3, 32.11448317918487)	(4, 35.64610224616323)	(5, 35.60676898058746)	(6, 35.64890740928956)	(7, 35.71570281532676)	(8, 35.698526272995224)	(9, 37.32989124911068)	(10, 37.272314259579225)	(12, 37.25792255310499)	(14, 38.59580241894501)	(16, 38.5908120743978)	(18, 38.58205102144527)	(20, 38.57231425957923)	(22, 38.517532269539586)	(24, 38.45192600874073)	(26, 38.41620083341803)	(28, 38.331161703425146)	(30, 38.279642240065044)	(32, 38.20667750787682)	(34, 38.16179489785547)	(36, 38.05812448432533)	(38, 38.01986986651764)	(40, 37.93313918646071)	(42, 37.76608336732363)	(44, 37.60075792652221)	(46, 37.53832667110322)	(48, 37.40133109793348)	(50, 36.58072136011152)	(52, 36.80425301330658)	(54, 37.175053571741955)	(56, 37.05663060958981)	(58, 36.764125286470595)	(60, 36.52182034036339)	(62, 36.24244904109892)	(64, 35.87586532245733)	(66, 35.49308842720144)	(68, 35.22919451353661)	(70, 34.81175127004109)	(72, 34.471985388873165)	(74, 34.09494233043715)	(76, 33.79956962738247)	(78, 33.563219333369524)	(80, 33.38952635523436)	(82, 33.06793495353014)	(84, 32.86856967802198)	(86, 32.703090754834705)	(88, 32.46719939637404)	(90, 32.375620472204886)	(92, 32.307680591614016)	(94, 32.33579843895572)	(96, 32.519185021430516)	(98, 32.78792818566027)	(100, 30.52320549575377)
g1_03-trimmed-pair1	(1, 32.207752790678725)	(2, 32.26258860914202)	(3, 32.17919416605557)	(4, 35.750529617860344)	(5, 35.71559520899535)	(6, 35.73311333822211)	(7, 35.78308074635378)	(8, 35.75800537765827)	(9, 37.41762405279883)	(10, 37.33780453026969)	(12, 37.334606453189934)	(14, 38.66127882343355)	(16, 38.6493216817404)	(18, 38.64018577364948)	(20, 38.64904668785138)	(22, 38.59983296667482)	(24, 38.569654933594066)	(26, 38.48797156359488)	(28, 38.443198484478124)	(30, 38.41323433553328)	(32, 38.322140063554144)	(34, 38.259441456856514)	(36, 38.215132259357596)	(38, 38.159265488746186)	(40, 38.100040497000904)	(42, 37.999590594312)	(44, 37.903003201543456)	(46, 37.841478349602674)	(48, 37.787714093939385)	(50, 37.618569938358064)	(52, 37.44541109264219)	(54, 37.27198728922169)	(56, 37.04830347204057)	(58, 36.800886496521)	(60, 36.52255708543687)	(62, 36.233375591166094)	(64, 35.86245673414317)	(66, 35.51612770233429)	(68, 35.194523977692086)	(70, 34.84994092463897)	(72, 34.44232640952953)	(74, 34.06702001097116)	(76, 33.244064741919466)	(78, 33.61627320753236)	(80, 33.543212813468784)	(82, 33.348061537767535)	(84, 33.21208642792718)	(86, 33.11127593075814)	(88, 32.9577044179627)	(90, 32.928308619629725)	(92, 32.91276939936085)	(94, 32.875738057661174)	(96, 32.91160116939035)	(98, 33.02687496286043)	(100, 30.976009186908655)
g1_03-trimmed-pair2	(1, 31.89043021266194)	(2, 31.986698443738288)	(3, 32.03658437219914)	(4, 35.568483663326)	(5, 35.55318585512914)	(6, 35.588935060702354)	(7, 35.66120752872158)	(8, 35.62625274993889)	(9, 37.278090116515926)	(10, 37.2188849507048)	(12, 37.18214780412287)	(14, 38.53326407561313)	(16, 38.496893587549906)	(18, 38.511509003503626)	(20, 38.479640267253316)	(22, 38.45181495966756)	(24, 38.39934205165811)	(26, 38.325236291045385)	(28, 38.253839729487495)	(30, 38.21271286564002)	(32, 38.15080868573291)	(34, 38.05923572068769)	(36, 37.99647560523385)	(38, 37.93618057837375)	(40, 37.829818308421935)	(42, 37.70836078840203)	(44, 37.53448982427933)	(46, 37.488033667797424)	(48, 37.315296844307895)	(50, 36.53267158052236)	(52, 36.752860679207274)	(54, 37.10484557064866)	(56, 36.97789779094254)	(58, 36.76561105610956)	(60, 36.49138194002468)	(62, 36.24480061538282)	(64, 35.881539428774715)	(66, 35.53189487373289)	(68, 35.283990868575216)	(70, 34.8570987730805)	(72, 34.51682907985112)	(74, 34.1592695849763)	(76, 33.84157303284579)	(78, 33.56626723434197)	(80, 33.36485073759643)	(82, 33.064173105739314)	(84, 32.878800847338056)	(86, 32.69885126497456)	(88, 32.46952673338101)	(90, 32.43047582452175)	(92, 32.387036592068895)	(94, 32.41393092562827)	(96, 32.54690853196078)	(98, 32.7784995239685)	(100, 30.56986382474837)
g3_01-trimmed-pair1	(1, 32.24886555562338)	(2, 32.28982764584987)	(3, 32.33563274525365)	(4, 35.82111389211078)	(5, 35.788352359440815)	(6, 35.761797204077894)	(7, 35.82036098732271)	(8, 35.770587876198036)	(9, 37.44057139368781)	(10, 37.362900107848525)	(12, 37.37966750096657)	(14, 38.68697474716643)	(16, 38.66889485786379)	(18, 38.66018558085587)	(20, 38.653704495045076)	(22, 38.60127586838411)	(24, 38.59277007915675)	(26, 38.507488350324564)	(28, 38.44979956453615)	(30, 38.40009767413467)	(32, 38.343985918645586)	(34, 38.291689559041984)	(36, 38.25630555740868)	(38, 38.19376294625349)	(40, 38.13982976370455)	(42, 38.02588581220513)	(44, 37.93095555641244)	(46, 37.89240009111103)	(48, 37.80363169822835)	(50, 37.643408179165334)	(52, 37.46858008732727)	(54, 37.30983359539471)	(56, 37.06886030617832)	(58, 36.825184684742325)	(60, 36.5889423999969)	(62, 36.31592668026123)	(64, 35.92357073816689)	(66, 35.55599598715699)	(68, 35.24296432276726)	(70, 34.85636837097174)	(72, 34.471263828246244)	(74, 34.11109698649557)	(76, 33.26872419287994)	(78, 33.64745601917214)	(80, 33.565577626083595)	(82, 33.349948225550705)	(84, 33.21692958904899)	(86, 33.10079487853197)	(88, 32.949461637044465)	(90, 32.92304258769623)	(92, 32.893443154988844)	(94, 32.88029945426931)	(96, 32.928776710354704)	(98, 33.02487447582272)	(100, 30.973939984508906)
g3_01-trimmed-pair2	(1, 31.916753148973402)	(2, 32.00238080703254)	(3, 32.05907250269621)	(4, 35.57135299025293)	(5, 35.543902488655554)	(6, 35.59180351219909)	(7, 35.67285269519565)	(8, 35.647416722625806)	(9, 37.301507844453944)	(10, 37.236798730236245)	(12, 37.21222758073378)	(14, 38.52676881753251)	(16, 38.506816840648725)	(18, 38.53717721750809)	(20, 38.52211912174674)	(22, 38.45885477077101)	(24, 38.40166453004497)	(26, 38.35413995889547)	(28, 38.28158639073724)	(30, 38.238986223877255)	(32, 38.14129174043099)	(34, 38.094560771625666)	(36, 38.02029759131294)	(38, 37.95151566677761)	(40, 37.87339949233703)	(42, 37.70779143189705)	(44, 37.56118189648426)	(46, 37.52232868353702)	(48, 37.351471457822136)	(50, 36.55923896428956)	(52, 36.772278471854776)	(54, 37.09452213267157)	(56, 36.99664471078995)	(58, 36.770362200218365)	(60, 36.52839851477374)	(62, 36.27739472417937)	(64, 35.904887874737454)	(66, 35.550644785078745)	(68, 35.30508900301325)	(70, 34.863963545727586)	(72, 34.496399122254196)	(74, 34.17302284887267)	(76, 33.854510193920326)	(78, 33.60838517145042)	(80, 33.391489604788305)	(82, 33.07897847892551)	(84, 32.89443908172408)	(86, 32.699000104337266)	(88, 32.4550096571403)	(90, 32.39512442913964)	(92, 32.33088546435569)	(94, 32.33013606646924)	(96, 32.50114791393628)	(98, 32.76914272807729)	(100, 30.541447721179626)
g3_02-trimmed-pair1	(1, 32.25550094826355)	(2, 32.29938617778412)	(3, 32.3561800273263)	(4, 35.82598853926627)	(5, 35.775496054000044)	(6, 35.76113954768848)	(7, 35.80690091155658)	(8, 35.76919468972409)	(9, 37.459754878968944)	(10, 37.359534637110755)	(12, 37.35806635805616)	(14, 38.7011440340967)	(16, 38.68110814283092)	(18, 38.699736933336055)	(20, 38.693700675000514)	(22, 38.638915512776066)	(24, 38.59596835042927)	(26, 38.52373717804923)	(28, 38.50923792238514)	(30, 38.44248220731285)	(32, 38.409354161143625)	(34, 38.33593001203173)	(36, 38.27789385294583)	(38, 38.21045666050922)	(40, 38.165204491870476)	(42, 38.07779720743463)	(44, 37.981919916524205)	(46, 37.93842635769323)	(48, 37.850569465648675)	(50, 37.71250227359363)	(52, 37.55347953023963)	(54, 37.36879202517176)	(56, 37.161899092658395)	(58, 36.93355850441898)	(60, 36.64787226593757)	(62, 36.36554293579466)	(64, 35.97588146065992)	(66, 35.615788880466425)	(68, 35.2872805643193)	(70, 34.919338990801165)	(72, 34.55951462253421)	(74, 34.14325139443365)	(76, 33.32330852401908)	(78, 33.67645088558507)	(80, 33.58905703848718)	(82, 33.38454858131408)	(84, 33.28352845915319)	(86, 33.13332450797911)	(88, 33.00348836903791)	(90, 32.965697204841796)	(92, 32.92880011782265)	(94, 32.910168681433866)	(96, 32.976559822364564)	(98, 33.07475004933024)	(100, 31.002097273544393)
g3_02-trimmed-pair2	(1, 31.97883231029631)	(2, 32.06397210269796)	(3, 32.09904765789098)	(4, 35.62573159043171)	(5, 35.61331239676163)	(6, 35.620388686094174)	(7, 35.71588800293656)	(8, 35.69074372412668)	(9, 37.334135448742785)	(10, 37.27736199196525)	(12, 37.227063237963165)	(14, 38.58349817484756)	(16, 38.56603177192732)	(18, 38.5797051206232)	(20, 38.56237127067317)	(22, 38.518037400330364)	(24, 38.47111364887738)	(26, 38.404031649570726)	(28, 38.33272834798213)	(30, 38.2840508187695)	(32, 38.214429920264294)	(34, 38.15519913534678)	(36, 38.057067521766626)	(38, 37.98384982609181)	(40, 37.917211667185576)	(42, 37.772224611062946)	(44, 37.64647338346747)	(46, 37.590511227360466)	(48, 37.42342218029338)	(50, 36.648690097373446)	(52, 36.85572301993881)	(54, 37.18431797264918)	(56, 37.07905920955969)	(58, 36.867276073553825)	(60, 36.60655163229584)	(62, 36.368573847470074)	(64, 35.9810728392349)	(66, 35.61970734074448)	(68, 35.38341959460398)	(70, 34.96826249560215)	(72, 34.57747248807725)	(74, 34.21142109781476)	(76, 33.9024772058807)	(78, 33.65641586254735)	(80, 33.44933108429916)	(82, 33.14666886618184)	(84, 32.92750190765017)	(86, 32.754467452531166)	(88, 32.544088063282814)	(90, 32.47452746267616)	(92, 32.423800971884425)	(94, 32.40391414683239)	(96, 32.56020185496155)	(98, 32.7920789500037)	(100, 30.523966190552613)
