Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
g1_01-trimmed-pair1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.5)	(11.0, 2.0)	(12.0, 2.0)	(13.0, 1.5)	(14.0, 3.5)	(15.0, 5.5)	(16.0, 8.0)	(17.0, 14.5)	(18.0, 21.0)	(19.0, 36.0)	(20.0, 63.5)	(21.0, 84.0)	(22.0, 116.0)	(23.0, 161.0)	(24.0, 214.0)	(25.0, 275.0)	(26.0, 352.0)	(27.0, 471.5)	(28.0, 533.5)	(29.0, 610.0)	(30.0, 760.5)	(31.0, 910.0)	(32.0, 1114.0)	(33.0, 1302.0)	(34.0, 1502.5)	(35.0, 1818.0)	(36.0, 2133.0)	(37.0, 2228.0)	(38.0, 2314.5)	(39.0, 2454.0)	(40.0, 2543.0)	(41.0, 2811.5)	(42.0, 2965.0)	(43.0, 2838.0)	(44.0, 2761.5)	(45.0, 2557.5)	(46.0, 2195.5)	(47.0, 1898.0)	(48.0, 1694.0)	(49.0, 1520.5)	(50.0, 1359.5)	(51.0, 1122.0)	(52.0, 843.5)	(53.0, 700.5)	(54.0, 607.0)	(55.0, 526.5)	(56.0, 408.0)	(57.0, 303.5)	(58.0, 261.0)	(59.0, 227.5)	(60.0, 165.5)	(61.0, 119.0)	(62.0, 99.5)	(63.0, 65.0)	(64.0, 33.0)	(65.0, 22.5)	(66.0, 16.0)	(67.0, 10.5)	(68.0, 8.0)	(69.0, 4.5)	(70.0, 1.5)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.5)	(77.0, 1.0)	(78.0, 0.5)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g1_01-trimmed-pair2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 5.0)	(15.0, 5.5)	(16.0, 7.5)	(17.0, 14.0)	(18.0, 24.0)	(19.0, 34.0)	(20.0, 46.0)	(21.0, 82.0)	(22.0, 125.0)	(23.0, 168.5)	(24.0, 220.5)	(25.0, 279.5)	(26.0, 372.0)	(27.0, 479.5)	(28.0, 574.0)	(29.0, 664.5)	(30.0, 776.5)	(31.0, 972.0)	(32.0, 1175.5)	(33.0, 1295.5)	(34.0, 1526.0)	(35.0, 1874.5)	(36.0, 2100.5)	(37.0, 2204.5)	(38.0, 2309.5)	(39.0, 2403.0)	(40.0, 2546.5)	(41.0, 2776.0)	(42.0, 2935.0)	(43.0, 2912.0)	(44.0, 2772.0)	(45.0, 2554.5)	(46.0, 2205.0)	(47.0, 1934.5)	(48.0, 1728.0)	(49.0, 1467.0)	(50.0, 1316.0)	(51.0, 1115.0)	(52.0, 885.0)	(53.0, 729.0)	(54.0, 572.0)	(55.0, 490.0)	(56.0, 434.5)	(57.0, 353.0)	(58.0, 287.5)	(59.0, 246.0)	(60.0, 189.5)	(61.0, 130.5)	(62.0, 99.5)	(63.0, 72.5)	(64.0, 41.5)	(65.0, 25.0)	(66.0, 15.0)	(67.0, 9.5)	(68.0, 7.5)	(69.0, 4.0)	(70.0, 1.5)	(71.0, 0.5)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g1_02-trimmed-pair1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 0.5)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.5)	(12.0, 1.5)	(13.0, 2.5)	(14.0, 3.0)	(15.0, 4.5)	(16.0, 6.5)	(17.0, 10.5)	(18.0, 21.5)	(19.0, 37.0)	(20.0, 48.0)	(21.0, 71.0)	(22.0, 109.5)	(23.0, 143.5)	(24.0, 183.0)	(25.0, 240.5)	(26.0, 326.0)	(27.0, 461.5)	(28.0, 545.0)	(29.0, 596.0)	(30.0, 693.0)	(31.0, 839.5)	(32.0, 1005.0)	(33.0, 1163.0)	(34.0, 1405.0)	(35.0, 1689.0)	(36.0, 1915.0)	(37.0, 2093.0)	(38.0, 2157.5)	(39.0, 2233.5)	(40.0, 2428.0)	(41.0, 2660.0)	(42.0, 2909.0)	(43.0, 2858.5)	(44.0, 2720.0)	(45.0, 2626.0)	(46.0, 2355.5)	(47.0, 2042.0)	(48.0, 1900.5)	(49.0, 1770.5)	(50.0, 1583.5)	(51.0, 1307.0)	(52.0, 996.5)	(53.0, 871.5)	(54.0, 730.5)	(55.0, 602.0)	(56.0, 476.5)	(57.0, 356.0)	(58.0, 308.0)	(59.0, 252.5)	(60.0, 178.5)	(61.0, 130.0)	(62.0, 92.5)	(63.0, 58.0)	(64.0, 33.0)	(65.0, 18.5)	(66.0, 11.5)	(67.0, 7.5)	(68.0, 5.0)	(69.0, 3.5)	(70.0, 2.0)	(71.0, 1.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g1_02-trimmed-pair2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 0.5)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 4.0)	(13.0, 2.5)	(14.0, 2.0)	(15.0, 5.5)	(16.0, 9.0)	(17.0, 12.5)	(18.0, 18.0)	(19.0, 38.0)	(20.0, 65.0)	(21.0, 81.5)	(22.0, 107.0)	(23.0, 143.5)	(24.0, 205.0)	(25.0, 266.0)	(26.0, 341.0)	(27.0, 456.0)	(28.0, 540.5)	(29.0, 642.0)	(30.0, 752.0)	(31.0, 846.5)	(32.0, 1019.5)	(33.0, 1226.0)	(34.0, 1436.5)	(35.0, 1687.0)	(36.0, 1891.5)	(37.0, 2019.0)	(38.0, 2210.5)	(39.0, 2322.5)	(40.0, 2419.5)	(41.0, 2717.0)	(42.0, 2889.5)	(43.0, 2828.0)	(44.0, 2748.5)	(45.0, 2638.0)	(46.0, 2385.0)	(47.0, 2082.5)	(48.0, 1920.5)	(49.0, 1791.5)	(50.0, 1589.0)	(51.0, 1309.0)	(52.0, 1044.5)	(53.0, 863.5)	(54.0, 662.0)	(55.0, 550.0)	(56.0, 481.0)	(57.0, 371.0)	(58.0, 302.0)	(59.0, 260.5)	(60.0, 210.5)	(61.0, 159.5)	(62.0, 111.5)	(63.0, 71.0)	(64.0, 37.0)	(65.0, 18.5)	(66.0, 12.5)	(67.0, 9.5)	(68.0, 9.5)	(69.0, 6.5)	(70.0, 3.0)	(71.0, 0.5)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g1_03-trimmed-pair1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 3.0)	(16.0, 6.5)	(17.0, 11.5)	(18.0, 19.5)	(19.0, 31.0)	(20.0, 47.5)	(21.0, 77.0)	(22.0, 108.0)	(23.0, 149.0)	(24.0, 225.0)	(25.0, 279.0)	(26.0, 328.0)	(27.0, 446.0)	(28.0, 535.5)	(29.0, 611.0)	(30.0, 713.0)	(31.0, 848.0)	(32.0, 1059.0)	(33.0, 1248.5)	(34.0, 1464.5)	(35.0, 1763.5)	(36.0, 2041.0)	(37.0, 2212.5)	(38.0, 2280.5)	(39.0, 2282.5)	(40.0, 2389.5)	(41.0, 2675.0)	(42.0, 2915.0)	(43.0, 2935.0)	(44.0, 2823.5)	(45.0, 2581.0)	(46.0, 2285.5)	(47.0, 2003.0)	(48.0, 1827.0)	(49.0, 1653.5)	(50.0, 1452.0)	(51.0, 1187.5)	(52.0, 894.5)	(53.0, 759.0)	(54.0, 646.5)	(55.0, 569.0)	(56.0, 459.5)	(57.0, 345.0)	(58.0, 272.0)	(59.0, 228.0)	(60.0, 170.0)	(61.0, 115.0)	(62.0, 81.5)	(63.0, 45.0)	(64.0, 24.5)	(65.0, 16.5)	(66.0, 6.5)	(67.0, 2.0)	(68.0, 2.5)	(69.0, 3.5)	(70.0, 3.5)	(71.0, 2.0)	(72.0, 0.5)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g1_03-trimmed-pair2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 2.5)	(14.0, 5.5)	(15.0, 5.5)	(16.0, 7.0)	(17.0, 11.0)	(18.0, 17.5)	(19.0, 37.0)	(20.0, 54.0)	(21.0, 79.5)	(22.0, 110.5)	(23.0, 145.5)	(24.0, 201.5)	(25.0, 256.0)	(26.0, 334.0)	(27.0, 465.0)	(28.0, 572.0)	(29.0, 656.5)	(30.0, 773.0)	(31.0, 913.5)	(32.0, 1075.5)	(33.0, 1237.0)	(34.0, 1464.5)	(35.0, 1788.0)	(36.0, 2056.0)	(37.0, 2178.0)	(38.0, 2294.5)	(39.0, 2367.0)	(40.0, 2426.0)	(41.0, 2679.5)	(42.0, 2904.0)	(43.0, 2895.5)	(44.0, 2876.0)	(45.0, 2667.5)	(46.0, 2250.0)	(47.0, 2003.5)	(48.0, 1852.5)	(49.0, 1665.5)	(50.0, 1459.5)	(51.0, 1182.5)	(52.0, 948.5)	(53.0, 793.5)	(54.0, 634.5)	(55.0, 548.0)	(56.0, 457.5)	(57.0, 344.0)	(58.0, 284.0)	(59.0, 251.0)	(60.0, 184.0)	(61.0, 113.5)	(62.0, 83.5)	(63.0, 60.0)	(64.0, 37.0)	(65.0, 26.5)	(66.0, 16.5)	(67.0, 15.0)	(68.0, 11.5)	(69.0, 6.0)	(70.0, 4.5)	(71.0, 3.5)	(72.0, 2.0)	(73.0, 1.0)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g3_01-trimmed-pair1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 0.5)	(10.0, 0.5)	(11.0, 1.0)	(12.0, 1.5)	(13.0, 2.0)	(14.0, 2.5)	(15.0, 5.5)	(16.0, 9.0)	(17.0, 12.0)	(18.0, 16.5)	(19.0, 28.5)	(20.0, 50.5)	(21.0, 69.0)	(22.0, 109.0)	(23.0, 159.0)	(24.0, 206.5)	(25.0, 257.0)	(26.0, 337.5)	(27.0, 451.5)	(28.0, 560.0)	(29.0, 658.5)	(30.0, 797.5)	(31.0, 940.5)	(32.0, 1099.5)	(33.0, 1277.5)	(34.0, 1504.0)	(35.0, 1848.5)	(36.0, 2094.5)	(37.0, 2184.0)	(38.0, 2241.5)	(39.0, 2375.0)	(40.0, 2583.0)	(41.0, 2835.0)	(42.0, 3045.5)	(43.0, 2929.0)	(44.0, 2733.0)	(45.0, 2526.0)	(46.0, 2191.5)	(47.0, 1923.0)	(48.0, 1721.5)	(49.0, 1516.0)	(50.0, 1359.5)	(51.0, 1142.5)	(52.0, 873.0)	(53.0, 722.5)	(54.0, 590.5)	(55.0, 483.5)	(56.0, 389.0)	(57.0, 312.5)	(58.0, 274.0)	(59.0, 226.0)	(60.0, 182.5)	(61.0, 141.5)	(62.0, 94.0)	(63.0, 62.5)	(64.0, 34.5)	(65.0, 22.5)	(66.0, 16.0)	(67.0, 9.5)	(68.0, 6.5)	(69.0, 5.0)	(70.0, 3.0)	(71.0, 2.0)	(72.0, 1.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g3_01-trimmed-pair2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 0.5)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.5)	(13.0, 2.0)	(14.0, 2.5)	(15.0, 4.0)	(16.0, 10.0)	(17.0, 18.5)	(18.0, 24.0)	(19.0, 35.0)	(20.0, 53.0)	(21.0, 77.5)	(22.0, 116.0)	(23.0, 154.5)	(24.0, 211.0)	(25.0, 279.0)	(26.0, 366.5)	(27.0, 485.5)	(28.0, 566.0)	(29.0, 654.0)	(30.0, 782.0)	(31.0, 943.5)	(32.0, 1136.0)	(33.0, 1315.5)	(34.0, 1515.5)	(35.0, 1845.5)	(36.0, 2161.5)	(37.0, 2264.0)	(38.0, 2322.5)	(39.0, 2382.0)	(40.0, 2570.5)	(41.0, 2855.0)	(42.0, 2999.5)	(43.0, 2943.0)	(44.0, 2807.5)	(45.0, 2598.0)	(46.0, 2207.0)	(47.0, 1876.0)	(48.0, 1662.0)	(49.0, 1494.0)	(50.0, 1361.0)	(51.0, 1110.5)	(52.0, 872.0)	(53.0, 725.5)	(54.0, 575.5)	(55.0, 476.0)	(56.0, 405.5)	(57.0, 337.0)	(58.0, 284.0)	(59.0, 236.0)	(60.0, 173.5)	(61.0, 143.0)	(62.0, 112.5)	(63.0, 66.5)	(64.0, 38.0)	(65.0, 26.0)	(66.0, 16.0)	(67.0, 8.0)	(68.0, 7.5)	(69.0, 7.0)	(70.0, 3.5)	(71.0, 1.0)	(72.0, 0.5)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g3_02-trimmed-pair1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.5)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 1.5)	(14.0, 2.5)	(15.0, 4.5)	(16.0, 8.0)	(17.0, 13.5)	(18.0, 20.0)	(19.0, 26.5)	(20.0, 42.0)	(21.0, 70.5)	(22.0, 101.5)	(23.0, 140.0)	(24.0, 193.5)	(25.0, 249.5)	(26.0, 316.0)	(27.0, 438.0)	(28.0, 561.0)	(29.0, 663.0)	(30.0, 758.5)	(31.0, 932.5)	(32.0, 1143.0)	(33.0, 1257.0)	(34.0, 1463.5)	(35.0, 1868.0)	(36.0, 2156.0)	(37.0, 2203.0)	(38.0, 2313.0)	(39.0, 2444.0)	(40.0, 2584.5)	(41.0, 2883.5)	(42.0, 3153.0)	(43.0, 3074.0)	(44.0, 2890.5)	(45.0, 2660.0)	(46.0, 2256.0)	(47.0, 1923.5)	(48.0, 1710.0)	(49.0, 1484.0)	(50.0, 1256.0)	(51.0, 1018.0)	(52.0, 795.5)	(53.0, 631.0)	(54.0, 488.5)	(55.0, 442.0)	(56.0, 346.5)	(57.0, 252.0)	(58.0, 244.0)	(59.0, 212.0)	(60.0, 146.0)	(61.0, 99.5)	(62.0, 66.5)	(63.0, 40.5)	(64.0, 20.0)	(65.0, 6.0)	(66.0, 3.5)	(67.0, 6.0)	(68.0, 5.5)	(69.0, 2.5)	(70.0, 1.5)	(71.0, 0.5)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
g3_02-trimmed-pair2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.5)	(14.0, 1.5)	(15.0, 4.0)	(16.0, 5.0)	(17.0, 10.0)	(18.0, 21.0)	(19.0, 34.5)	(20.0, 49.0)	(21.0, 68.0)	(22.0, 96.0)	(23.0, 137.0)	(24.0, 192.0)	(25.0, 258.5)	(26.0, 347.0)	(27.0, 454.0)	(28.0, 511.0)	(29.0, 593.5)	(30.0, 754.5)	(31.0, 930.0)	(32.0, 1140.0)	(33.0, 1317.0)	(34.0, 1588.0)	(35.0, 1929.5)	(36.0, 2155.5)	(37.0, 2293.0)	(38.0, 2372.5)	(39.0, 2462.0)	(40.0, 2625.5)	(41.0, 2875.5)	(42.0, 3099.0)	(43.0, 3089.0)	(44.0, 2964.5)	(45.0, 2680.5)	(46.0, 2197.0)	(47.0, 1882.0)	(48.0, 1683.0)	(49.0, 1429.0)	(50.0, 1306.5)	(51.0, 1084.0)	(52.0, 795.5)	(53.0, 648.5)	(54.0, 508.5)	(55.0, 460.0)	(56.0, 376.5)	(57.0, 284.5)	(58.0, 250.0)	(59.0, 195.5)	(60.0, 143.5)	(61.0, 100.5)	(62.0, 71.0)	(63.0, 50.0)	(64.0, 32.0)	(65.0, 24.0)	(66.0, 11.0)	(67.0, 5.0)	(68.0, 4.5)	(69.0, 3.0)	(70.0, 2.0)	(71.0, 1.0)	(72.0, 1.0)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
