Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
g1_01-trimmed-pair1	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 1.0)	(20.0, 9.0)	(21.0, 15.0)	(22.0, 74.0)	(23.0, 143.0)	(24.0, 195.0)	(25.0, 301.0)	(26.0, 473.0)	(27.0, 547.0)	(28.0, 704.0)	(29.0, 882.0)	(30.0, 1099.0)	(31.0, 1310.0)	(32.0, 1726.0)	(33.0, 2222.0)	(34.0, 3038.0)	(35.0, 4387.0)	(36.0, 7508.0)	(37.0, 13331.0)	(38.0, 9926.0)	(39.0, 1134.0)	(40.0, 3.0)
g1_01-trimmed-pair2	(19.0, 2.0)	(20.0, 18.0)	(21.0, 36.0)	(22.0, 99.0)	(23.0, 164.0)	(24.0, 262.0)	(25.0, 351.0)	(26.0, 510.0)	(27.0, 609.0)	(28.0, 825.0)	(29.0, 946.0)	(30.0, 1161.0)	(31.0, 1466.0)	(32.0, 1824.0)	(33.0, 2382.0)	(34.0, 3175.0)	(35.0, 4599.0)	(36.0, 7567.0)	(37.0, 12689.0)	(38.0, 9336.0)	(39.0, 1008.0)				
g1_02-trimmed-pair1	(19.0, 2.0)	(20.0, 6.0)	(21.0, 20.0)	(22.0, 60.0)	(23.0, 126.0)	(24.0, 193.0)	(25.0, 273.0)	(26.0, 399.0)	(27.0, 526.0)	(28.0, 661.0)	(29.0, 794.0)	(30.0, 950.0)	(31.0, 1286.0)	(32.0, 1566.0)	(33.0, 2043.0)	(34.0, 2895.0)	(35.0, 4321.0)	(36.0, 7561.0)	(37.0, 13702.0)	(38.0, 10503.0)	(39.0, 1307.0)	(40.0, 1.0)			
g1_02-trimmed-pair2	(19.0, 3.0)	(20.0, 8.0)	(21.0, 42.0)	(22.0, 88.0)	(23.0, 141.0)	(24.0, 212.0)	(25.0, 350.0)	(26.0, 412.0)	(27.0, 569.0)	(28.0, 787.0)	(29.0, 884.0)	(30.0, 1107.0)	(31.0, 1360.0)	(32.0, 1760.0)	(33.0, 2274.0)	(34.0, 3025.0)	(35.0, 4540.0)	(36.0, 7715.0)	(37.0, 13303.0)	(38.0, 9565.0)	(39.0, 1049.0)	(40.0, 1.0)			
g1_03-trimmed-pair1	(19.0, 1.0)	(20.0, 9.0)	(21.0, 24.0)	(22.0, 69.0)	(23.0, 128.0)	(24.0, 175.0)	(25.0, 288.0)	(26.0, 411.0)	(27.0, 552.0)	(28.0, 631.0)	(29.0, 835.0)	(30.0, 1026.0)	(31.0, 1276.0)	(32.0, 1541.0)	(33.0, 2118.0)	(34.0, 2888.0)	(35.0, 4240.0)	(36.0, 7288.0)	(37.0, 13593.0)	(38.0, 10740.0)	(39.0, 1258.0)	(40.0, 1.0)			
g1_03-trimmed-pair2	(19.0, 3.0)	(20.0, 9.0)	(21.0, 58.0)	(22.0, 100.0)	(23.0, 155.0)	(24.0, 268.0)	(25.0, 340.0)	(26.0, 489.0)	(27.0, 599.0)	(28.0, 700.0)	(29.0, 925.0)	(30.0, 1077.0)	(31.0, 1404.0)	(32.0, 1746.0)	(33.0, 2320.0)	(34.0, 3078.0)	(35.0, 4437.0)	(36.0, 7623.0)	(37.0, 12844.0)	(38.0, 9889.0)	(39.0, 1028.0)				
g3_01-trimmed-pair1	(19.0, 3.0)	(20.0, 7.0)	(21.0, 15.0)	(22.0, 60.0)	(23.0, 117.0)	(24.0, 180.0)	(25.0, 314.0)	(26.0, 392.0)	(27.0, 502.0)	(28.0, 659.0)	(29.0, 814.0)	(30.0, 1046.0)	(31.0, 1202.0)	(32.0, 1628.0)	(33.0, 2064.0)	(34.0, 2815.0)	(35.0, 4251.0)	(36.0, 7380.0)	(37.0, 13555.0)	(38.0, 10886.0)	(39.0, 1248.0)	(40.0, 5.0)			
g3_01-trimmed-pair2	(19.0, 5.0)	(20.0, 8.0)	(21.0, 37.0)	(22.0, 91.0)	(23.0, 163.0)	(24.0, 255.0)	(25.0, 347.0)	(26.0, 461.0)	(27.0, 602.0)	(28.0, 760.0)	(29.0, 907.0)	(30.0, 1089.0)	(31.0, 1381.0)	(32.0, 1731.0)	(33.0, 2222.0)	(34.0, 3054.0)	(35.0, 4411.0)	(36.0, 7664.0)	(37.0, 13049.0)	(38.0, 9885.0)	(39.0, 1020.0)	(40.0, 1.0)			
g3_02-trimmed-pair1	(20.0, 13.0)	(21.0, 23.0)	(22.0, 83.0)	(23.0, 124.0)	(24.0, 202.0)	(25.0, 283.0)	(26.0, 406.0)	(27.0, 513.0)	(28.0, 589.0)	(29.0, 790.0)	(30.0, 907.0)	(31.0, 1196.0)	(32.0, 1570.0)	(33.0, 2032.0)	(34.0, 2817.0)	(35.0, 4146.0)	(36.0, 7295.0)	(37.0, 13591.0)	(38.0, 11203.0)	(39.0, 1252.0)	(40.0, 2.0)				
g3_02-trimmed-pair2	(18.0, 2.0)	(19.0, 0.0)	(20.0, 17.0)	(21.0, 33.0)	(22.0, 98.0)	(23.0, 162.0)	(24.0, 238.0)	(25.0, 330.0)	(26.0, 398.0)	(27.0, 541.0)	(28.0, 770.0)	(29.0, 886.0)	(30.0, 1079.0)	(31.0, 1379.0)	(32.0, 1694.0)	(33.0, 2252.0)	(34.0, 2911.0)	(35.0, 4320.0)	(36.0, 7461.0)	(37.0, 13224.0)	(38.0, 10150.0)	(39.0, 1092.0)			
