Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
g1_01-trimmed-pair1	(1.0, 64.70252299659384)	(2.0, 13.5022129759938)	(3.0, 5.9107874931163185)	(4.0, 3.369434416365824)	(5.0, 2.4985212833221153)	(6.0, 1.8968365661139326)	(7.0, 1.3563401252320055)	(8.0, 1.060596789655102)	(9.0, 0.8443982133023312)	('>10', 4.738012196863081)	('>50', 0.12033694344163659)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_01-trimmed-pair2	(1.0, 64.67804768606335)	(2.0, 13.710253115503068)	(3.0, 5.904668665483694)	(4.0, 3.499969405861837)	(5.0, 2.3557486385608515)	(6.0, 1.7499847029309186)	(7.0, 1.2135674804707417)	(8.0, 1.0279630422810988)	(9.0, 0.8443982133023312)	('>10', 4.909339370576597)	('>50', 0.10605967896551022)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_02-trimmed-pair1	(1.0, 66.89297692854966)	(2.0, 13.481044821628213)	(3.0, 5.622522614086797)	(4.0, 3.1710539688992783)	(5.0, 1.9412541924992377)	(6.0, 1.548937900193109)	(7.0, 1.465596097164346)	(8.0, 1.057017989633093)	(9.0, 0.6220144323610123)	('>10', 4.081715621506251)	('>50', 0.1158654334790121)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_02-trimmed-pair2	(1.0, 67.64915133651795)	(2.0, 13.334688484602095)	(3.0, 5.30541721719687)	(4.0, 3.2848866754751502)	(5.0, 1.9920723650777517)	(6.0, 1.451367008842362)	(7.0, 1.0529525358268117)	(8.0, 1.008232543957719)	(9.0, 0.8964325642849883)	('>10', 4.024799268218315)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_03-trimmed-pair1	(1.0, 64.54412124175019)	(2.0, 13.692658681658926)	(3.0, 5.732094842336837)	(4.0, 3.2836307341318345)	(5.0, 2.6684592194247534)	(6.0, 1.6499633341481301)	(7.0, 1.582742605719873)	(8.0, 1.1896031940030962)	(9.0, 0.9166462967489611)	('>10', 4.7400798500774055)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_03-trimmed-pair2	(1.0, 65.10429397865232)	(2.0, 13.48081153752139)	(3.0, 5.848203373258372)	(4.0, 3.5362177136804367)	(5.0, 2.3629104538417667)	(6.0, 1.4910779760449768)	(7.0, 1.3545995274179092)	(8.0, 1.1244194573453925)	(9.0, 0.6783182595942312)	('>10', 4.909150167033325)	('>50', 0.10999755560987534)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_01-trimmed-pair1	(1.0, 65.83643652198685)	(2.0, 13.560425696436928)	(3.0, 5.817715646175447)	(4.0, 2.987200618602853)	(5.0, 2.289237531286246)	(6.0, 1.7581344240278372)	(7.0, 1.2534847282420691)	(8.0, 0.8139511222351098)	(9.0, 1.0255784140162383)	('>10', 4.4502777608204624)	('>50', 0.20755753616995298)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_01-trimmed-pair2	(1.0, 66.17829599332559)	(2.0, 13.377286693934028)	(3.0, 5.915389780843661)	(4.0, 3.2965020450521942)	(5.0, 2.370632643509757)	(6.0, 1.6604602893596239)	(7.0, 1.35319374071587)	(8.0, 0.8139511222351098)	(9.0, 0.677614309260729)	('>10', 4.356673381763425)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_02-trimmed-pair1	(1.0, 60.88871668332075)	(2.0, 13.332789526276075)	(3.0, 6.032179782613129)	(4.0, 4.13565267043253)	(5.0, 2.559291963211453)	(6.0, 2.22688989946367)	(7.0, 1.4560433958031689)	(8.0, 1.4030222077207006)	(9.0, 1.284744172767502)	('>10', 6.680669698391011)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_02-trimmed-pair2	(1.0, 61.202765258886146)	(2.0, 13.524481513958847)	(3.0, 6.062768929583784)	(4.0, 3.7685829067846726)	(5.0, 2.6204702571527623)	(6.0, 1.920998429757122)	(7.0, 1.5987927483328914)	(8.0, 1.2561943022615576)	(9.0, 1.1195627791259661)	('>10', 6.7969084568795)	('>50', 0.1284744172767502)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_03-trimmed-pair1	(1.0, 63.125089116574664)	(2.0, 13.472389138981116)	(3.0, 5.9580795632778605)	(4.0, 3.1613468315238427)	(5.0, 2.6072963558959525)	(6.0, 1.9065854602489152)	(7.0, 1.2832786751675391)	(8.0, 1.4177173935184242)	(9.0, 1.0449554926364246)	('>10', 5.894934104658505)	('>50', 0.12832786751675393)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
