Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
g1_01-trimmed-pair1	(36, 19.0)	(38, 26.0)	(40, 28.0)	(42, 31.0)	(44, 31.0)	(46, 40.0)	(48, 41.0)	(50, 35.0)	(52, 69.0)	(54, 46.0)	(56, 54.0)	(58, 46.0)	(60, 89.0)	(62, 78.0)	(64, 69.0)	(66, 68.0)	(68, 97.0)	(70, 84.0)	(72, 101.0)	(74, 87.0)	(76, 55.0)	(78, 108.0)	(80, 128.0)	(82, 122.0)	(84, 151.0)	(86, 204.0)	(88, 218.0)	(90, 312.0)	(92, 454.0)	(94, 713.0)	(96, 1052.0)	(98, 5003.0)	(100, 39370.0)
g1_01-trimmed-pair2	(36, 33.0)	(38, 36.0)	(40, 43.0)	(42, 57.0)	(44, 43.0)	(46, 65.0)	(48, 70.0)	(50, 53.0)	(52, 60.0)	(54, 68.0)	(56, 91.0)	(58, 70.0)	(60, 83.0)	(62, 105.0)	(64, 91.0)	(66, 111.0)	(68, 108.0)	(70, 112.0)	(72, 111.0)	(74, 130.0)	(76, 145.0)	(78, 186.0)	(80, 175.0)	(82, 186.0)	(84, 236.0)	(86, 271.0)	(88, 327.0)	(90, 412.0)	(92, 547.0)	(94, 836.0)	(96, 1327.0)	(98, 5922.0)	(100, 36919.0)
g1_02-trimmed-pair1	(36, 19.0)	(38, 28.0)	(40, 23.0)	(42, 29.0)	(44, 26.0)	(46, 35.0)	(48, 47.0)	(50, 41.0)	(52, 46.0)	(54, 48.0)	(56, 57.0)	(58, 60.0)	(60, 52.0)	(62, 57.0)	(64, 80.0)	(66, 69.0)	(68, 77.0)	(70, 67.0)	(72, 91.0)	(74, 94.0)	(76, 59.0)	(78, 99.0)	(80, 102.0)	(82, 121.0)	(84, 141.0)	(86, 191.0)	(88, 205.0)	(90, 261.0)	(92, 405.0)	(94, 599.0)	(96, 1054.0)	(98, 5024.0)	(100, 39888.0)
g1_02-trimmed-pair2	(36, 35.0)	(38, 47.0)	(40, 47.0)	(42, 53.0)	(44, 48.0)	(46, 69.0)	(48, 82.0)	(50, 39.0)	(52, 48.0)	(54, 65.0)	(56, 65.0)	(58, 77.0)	(60, 76.0)	(62, 103.0)	(64, 92.0)	(66, 77.0)	(68, 113.0)	(70, 121.0)	(72, 126.0)	(74, 142.0)	(76, 144.0)	(78, 152.0)	(80, 187.0)	(82, 194.0)	(84, 217.0)	(86, 259.0)	(88, 303.0)	(90, 399.0)	(92, 527.0)	(94, 854.0)	(96, 1296.0)	(98, 6164.0)	(100, 36974.0)
g1_03-trimmed-pair1	(36, 23.0)	(38, 21.0)	(40, 15.0)	(42, 29.0)	(44, 40.0)	(46, 29.0)	(48, 40.0)	(50, 39.0)	(52, 53.0)	(54, 43.0)	(56, 57.0)	(58, 67.0)	(60, 60.0)	(62, 66.0)	(64, 67.0)	(66, 75.0)	(68, 80.0)	(70, 81.0)	(72, 92.0)	(74, 77.0)	(76, 77.0)	(78, 82.0)	(80, 106.0)	(82, 106.0)	(84, 137.0)	(86, 194.0)	(88, 230.0)	(90, 245.0)	(92, 373.0)	(94, 652.0)	(96, 976.0)	(98, 4803.0)	(100, 40057.0)
g1_03-trimmed-pair2	(36, 50.0)	(38, 45.0)	(40, 52.0)	(42, 69.0)	(44, 57.0)	(46, 65.0)	(48, 77.0)	(50, 49.0)	(52, 47.0)	(54, 72.0)	(56, 80.0)	(58, 69.0)	(60, 71.0)	(62, 96.0)	(64, 109.0)	(66, 95.0)	(68, 103.0)	(70, 105.0)	(72, 143.0)	(74, 137.0)	(76, 124.0)	(78, 154.0)	(80, 171.0)	(82, 187.0)	(84, 207.0)	(86, 275.0)	(88, 300.0)	(90, 419.0)	(92, 495.0)	(94, 776.0)	(96, 1270.0)	(98, 5965.0)	(100, 37158.0)
g3_01-trimmed-pair1	(36, 29.0)	(38, 26.0)	(40, 28.0)	(42, 28.0)	(44, 48.0)	(46, 34.0)	(48, 36.0)	(50, 49.0)	(52, 41.0)	(54, 56.0)	(56, 49.0)	(58, 47.0)	(60, 72.0)	(62, 62.0)	(64, 67.0)	(66, 68.0)	(68, 71.0)	(70, 103.0)	(72, 83.0)	(74, 80.0)	(76, 46.0)	(78, 85.0)	(80, 98.0)	(82, 102.0)	(84, 122.0)	(86, 198.0)	(88, 202.0)	(90, 283.0)	(92, 414.0)	(94, 592.0)	(96, 1008.0)	(98, 4893.0)	(100, 40023.0)
g3_01-trimmed-pair2	(36, 34.0)	(38, 38.0)	(40, 45.0)	(42, 51.0)	(44, 52.0)	(46, 64.0)	(48, 62.0)	(50, 54.0)	(52, 43.0)	(54, 60.0)	(56, 61.0)	(58, 66.0)	(60, 85.0)	(62, 91.0)	(64, 85.0)	(66, 96.0)	(68, 110.0)	(70, 118.0)	(72, 112.0)	(74, 155.0)	(76, 164.0)	(78, 136.0)	(80, 181.0)	(82, 187.0)	(84, 218.0)	(86, 253.0)	(88, 292.0)	(90, 404.0)	(92, 557.0)	(94, 806.0)	(96, 1253.0)	(98, 5910.0)	(100, 37300.0)
g3_02-trimmed-pair1	(36, 24.0)	(38, 24.0)	(40, 23.0)	(42, 36.0)	(44, 37.0)	(46, 38.0)	(48, 37.0)	(50, 49.0)	(52, 38.0)	(54, 48.0)	(56, 42.0)	(58, 55.0)	(60, 60.0)	(62, 71.0)	(64, 66.0)	(66, 55.0)	(68, 57.0)	(70, 71.0)	(72, 85.0)	(74, 99.0)	(76, 61.0)	(78, 89.0)	(80, 86.0)	(82, 123.0)	(84, 148.0)	(86, 176.0)	(88, 204.0)	(90, 269.0)	(92, 383.0)	(94, 582.0)	(96, 1015.0)	(98, 4834.0)	(100, 40052.0)
g3_02-trimmed-pair2	(36, 32.0)	(38, 52.0)	(40, 47.0)	(42, 56.0)	(44, 56.0)	(46, 60.0)	(48, 74.0)	(50, 51.0)	(52, 45.0)	(54, 65.0)	(56, 70.0)	(58, 63.0)	(60, 74.0)	(62, 87.0)	(64, 100.0)	(66, 86.0)	(68, 105.0)	(70, 107.0)	(72, 116.0)	(74, 126.0)	(76, 132.0)	(78, 129.0)	(80, 146.0)	(82, 170.0)	(84, 197.0)	(86, 261.0)	(88, 281.0)	(90, 392.0)	(92, 529.0)	(94, 831.0)	(96, 1235.0)	(98, 5876.0)	(100, 37386.0)
