Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
g1_01-trimmed-pair1	24.1673295396602	40.0	98.71660649819495	100	10.0	0.049028999999999996
g1_01-trimmed-pair2	24.11429970017744	40.0	98.05997470884579	100	10.0	0.049028999999999996
g1_02-trimmed-pair1	22.3498323000305	41.0	98.85052342717756	100	10.0	0.049194999999999996
g1_02-trimmed-pair2	21.796930582376262	41.0	98.10093505437544	100	10.0	0.049194999999999996
g1_03-trimmed-pair1	24.26871995437139	41.0	98.85659577935306	100	10.0	0.049092
g1_03-trimmed-pair2	23.842988674325767	41.0	98.06302452538091	100	10.0	0.049092
g3_01-trimmed-pair1	23.228130150784438	41.0	98.84263272490487	100	10.0	0.049143
g3_01-trimmed-pair2	22.91272409091833	40.0	98.16432655719024	100	10.0	0.049143
g3_02-trimmed-pair1	27.564899973489403	40.0	98.88811509676367	100	10.0	0.049037
g3_02-trimmed-pair2	27.25900850378285	40.0	98.19830943981076	100	10.0	0.049037
g3_03-trimmed-pair1	25.64927790112644	40.0	98.90979365693683	100	10.0	0.049093
g3_03-trimmed-pair2	25.467989326380547	40.0	98.10955737070458	100	10.0	0.049093
