.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
g1_01_R1_paired	1	1	1	0.25	1	1	0.5	1	0.5	1
g1_01_R1_unpaired	1	1	1	0.25	0.5	1	0.5	1	0.5	1
g1_01_R2_paired	1	1	1	0.25	1	1	0.5	1	1	1
g1_01_R2_unpaired	1	1	1	0.25	0.25	1	0.5	1	0.5	1
g1_02_R1_paired	1	1	1	0.25	1	1	0.5	1	0.5	1
g1_02_R1_unpaired	1	1	1	0.25	0.5	1	0.5	1	0.5	1
g1_02_R2_paired	1	1	1	0.25	1	1	0.5	1	1	1
g1_02_R2_unpaired	1	1	1	0.25	1	1	0.5	1	0.5	1
g1_03_R1_paired	1	1	1	0.25	1	1	0.5	1	1	1
g1_03_R1_unpaired	1	1	1	0.25	1	1	0.5	1	0.5	1
g1_03_R2_paired	1	1	1	0.25	1	1	0.5	1	1	1
g1_03_R2_unpaired	1	1	1	0.25	0.5	1	0.5	1	0.5	1
g3_01_R1_paired	1	1	1	0.25	1	1	0.5	1	0.5	1
g3_01_R1_unpaired	1	1	1	0.25	1	1	0.5	1	0.5	1
g3_01_R2_paired	1	1	1	0.25	1	1	0.5	1	1	1
g3_01_R2_unpaired	1	1	1	0.25	0.5	1	0.5	1	0.5	1
g3_02_R1_paired	1	1	1	0.25	1	1	0.5	1	1	1
g3_02_R1_unpaired	1	1	1	0.25	1	1	0.5	1	0.5	1
g3_02_R2_paired	1	1	1	0.25	1	1	0.5	1	0.5	1
g3_02_R2_unpaired	1	1	1	0.25	0.5	1	0.5	1	0.5	1
g3_03_R1_paired	1	1	1	0.25	1	1	0.5	1	0.5	1
g3_03_R1_unpaired	1	1	1	0.25	1	1	0.5	1	0.5	1
g3_03_R2_paired	1	1	1	0.25	1	1	0.5	1	0.5	1
g3_03_R2_unpaired	1	1	1	0.25	0.5	1	0.5	1	0.5	1
