Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
g1_01_R1_paired	0.1177342693934505	0.0
g1_01_R1_unpaired	0.13280212483399734	1.7264276228419653
g1_01_R2_paired	0.0	0.0
g1_01_R2_unpaired	0.19665683382497542	0.5899705014749262
g1_02_R1_paired	0.10551248923341948	0.0
g1_02_R1_unpaired	0.14727540500736377	0.4418262150220913
g1_02_R2_paired	0.0	0.0
g1_02_R2_unpaired	0.2285714285714286	99.77142857142859
g1_03_R1_paired	0.0	0.0
g1_03_R1_unpaired	0.14194464158977999	0.9936124911284598
g1_03_R2_paired	0.0	0.0
g1_03_R2_unpaired	0.23148148148148145	99.7685185185185
g3_01_R1_paired	0.10601700599320626	0.0
g3_01_R1_unpaired	0.211118930330753	0.9852216748768472
g3_01_R2_paired	0.0	0.0
g3_01_R2_unpaired	0.22497187851518563	99.77502812148482
g3_02_R1_paired	0.0	0.0
g3_02_R1_unpaired	0.1480384900074019	1.3323464100666171
g3_02_R2_paired	0.11477823977823977	0.10178447678447676
g3_02_R2_unpaired	0.20725388601036268	99.79274611398964
g3_03_R1_paired	0.11702496532593619	0.0
g3_03_R1_unpaired	0.13596193065941536	1.087695445275323
g3_03_R2_paired	0.11052357836338418	0.0
g3_03_R2_unpaired	0.2288329519450801	99.77116704805492
