Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
g1_01_R1_paired	(1, 32.45046439628483)	(2, 32.51063968953037)	(3, 32.483495399642436)	(4, 36.068700126455326)	(5, 36.04517507521911)	(6, 36.040073256878735)	(7, 36.09828631230105)	(8, 36.07537173505429)	(9, 37.81271530109449)	(10, 37.723008328609424)	(12, 37.74384075349933)	(14, 39.11323202372128)	(16, 39.09265032921991)	(18, 39.07985217808398)	(20, 39.07630924868094)	(22, 39.04154493524615)	(24, 39.01093402520385)	(26, 38.95998124972746)	(28, 38.92043125626826)	(30, 38.8978437186587)	(32, 38.82171979243884)	(34, 38.75981118911612)	(36, 38.689580464879526)	(38, 38.65696382857257)	(40, 38.58670746110282)	(42, 38.51578371628139)	(44, 38.44600177821038)	(46, 38.35988220009037)	(48, 38.28504603497473)	(50, 38.14034730760129)	(52, 37.99719602077785)	(54, 37.82566817550325)	(56, 37.602284659518205)	(58, 37.3595682900891)	(60, 37.109846009682954)	(62, 36.82596140084296)	(64, 36.47512074355038)	(66, 36.13083502462511)	(68, 35.79308981086978)	(70, 35.43901164543213)	(72, 35.0782605934712)	(74, 34.70163783670989)	(76, 33.855810639020405)	(78, 34.21492782799854)	(80, 34.12790086516638)	(82, 33.910182583056894)	(84, 33.77196584145171)	(86, 33.65306502604848)	(88, 33.495253701774416)	(90, 33.437023508796656)	(92, 33.39128195374535)	(94, 33.30799392348072)	(96, 33.27022361548918)	(98, 33.26798874264885)	(100, 31.129754407194522)
g1_01_R1_unpaired	(1, 28.776892430278885)	(2, 28.49269588313413)	(3, 28.609561752988046)	(4, 32.15139442231076)	(5, 32.32868525896414)	(6, 32.367197875166)	(7, 32.256308100929616)	(8, 32.277556440903055)	(9, 33.06241699867198)	(10, 33.059760956175296)	(12, 32.894754316069054)	(14, 33.45086321381142)	(16, 33.44588313413014)	(18, 33.38379814077025)	(20, 33.213811420982736)	(22, 33.28154050464808)	(24, 33.06573705179283)	(26, 33.41799468791501)	(28, 33.25066401062416)	(30, 33.05345285524568)	(32, 32.80677290836653)	(34, 32.80677290836653)	(36, 32.75561498667054)	(38, 32.68703332566463)	(40, 32.38578694239727)	(42, 32.40405289097613)	(44, 32.63236827701438)	(46, 32.57563445057381)	(48, 32.46781228465827)	(50, 32.59753342989693)	(52, 32.37511211609265)	(54, 32.08348617353092)	(56, 32.10953414738185)	(58, 31.930894410328037)	(60, 31.858344305351174)	(62, 31.830311492046256)	(64, 31.40439578152344)	(66, 30.970711265761217)	(68, 30.861314263458542)	(70, 30.81707172671028)	(72, 30.711011578989016)	(74, 30.399949373377925)	(76, 29.814994850973672)	(78, 30.433230511038623)	(80, 30.51514827190143)	(82, 30.344829819199088)	(84, 29.827373827084216)	(86, 30.149417805213425)	(88, 30.028511760362832)	(90, 29.914126211519577)	(92, 30.189497762773627)	(94, 29.905547314638223)	(96, 30.60716911764706)	(98, 30.52913737306104)	(100, 29.16)
g1_01_R2_paired	(1, 32.21994505734095)	(2, 32.33787555051672)	(3, 32.40337068852745)	(4, 35.972158025552694)	(5, 35.94527536737453)	(6, 35.954149042863996)	(7, 36.03933196703441)	(8, 36.01305978284568)	(9, 37.73191470806262)	(10, 37.65964984956177)	(12, 37.66032573147866)	(14, 39.015479876160995)	(16, 39.02081062224741)	(18, 38.99594470849867)	(20, 38.99862643352374)	(22, 38.951227488771636)	(24, 38.94160162211661)	(26, 38.86409322809925)	(28, 38.80766798936031)	(30, 38.75941874155147)	(32, 38.69975581040422)	(34, 38.62164784371866)	(36, 38.5439156567752)	(38, 38.50257496504379)	(40, 38.40495973365617)	(42, 38.2783305774197)	(44, 38.15389419767914)	(46, 38.097287842453255)	(48, 37.98448633000807)	(50, 37.189103423010586)	(52, 37.420099555106944)	(54, 37.787150170676554)	(56, 37.689901848057346)	(58, 37.425722061357455)	(60, 37.21697278271554)	(62, 36.95547017330462)	(64, 36.58574631141577)	(66, 36.25025981410448)	(68, 36.00345091189297)	(70, 35.55450114870362)	(72, 35.202168386479016)	(74, 34.82952835082037)	(76, 34.513163156118296)	(78, 34.25280750503147)	(80, 34.04482547062187)	(82, 33.73100791418199)	(84, 33.5522502798876)	(86, 33.36489416745325)	(88, 33.149991147277966)	(90, 33.08173089436947)	(92, 32.961820304038795)	(94, 32.93264456979519)	(96, 32.95876186409099)	(98, 33.05930373661096)	(100, 30.68947694852181)
g1_01_R2_unpaired	(1, 28.02654867256637)	(2, 27.89085545722714)	(3, 28.03834808259587)	(4, 31.659783677482793)	(5, 31.538839724680432)	(6, 31.534906588003935)	(7, 31.774827925270404)	(8, 31.768928220255653)	(9, 32.68829891838742)	(10, 32.44149459193707)	(12, 32.293510324483776)	(14, 32.90462143559489)	(16, 32.67895771878072)	(18, 32.926253687315636)	(20, 33.007866273353)	(22, 33.06047197640118)	(24, 33.27630285152409)	(26, 32.81858407079646)	(28, 32.56293018682399)	(30, 32.54080629301868)	(32, 32.21533923303835)	(34, 32.359390363815145)	(36, 32.18530567119254)	(38, 32.35920813207961)	(40, 32.37306360488427)	(42, 31.93286223627141)	(44, 31.7771502682468)	(46, 31.835248937792784)	(48, 31.625254100509736)	(50, 31.187116187668877)	(52, 31.69094123322627)	(54, 32.12094651903813)	(56, 32.18872202376613)	(58, 31.709950019643504)	(60, 32.00595584768561)	(62, 32.10829662038917)	(64, 31.471825504540952)	(66, 31.503738437092107)	(68, 31.363931491679182)	(70, 30.975380084209654)	(72, 31.030499772506268)	(74, 30.837909736406964)	(76, 30.78004690703502)	(78, 30.398800740635238)	(80, 30.634024156779766)	(82, 30.304945054945055)	(84, 30.047814523589267)	(86, 29.67253738771644)	(88, 29.67191308956015)	(90, 29.606630797439056)	(92, 29.85122251998008)	(94, 30.071774949027386)	(96, 30.226480632093477)	(98, 30.716137265458315)	(100, 28.663101604278076)
g1_02_R1_paired	(1, 32.52603359173126)	(2, 32.5844315245478)	(3, 32.650430663221364)	(4, 36.14717915590008)	(5, 36.107838070628766)	(6, 36.127820844099915)	(7, 36.16014211886305)	(8, 36.12592592592593)	(9, 37.87252368647717)	(10, 37.81233850129199)	(12, 37.81594530577089)	(14, 39.20029069767442)	(16, 39.194659776055126)	(18, 39.20910852713179)	(20, 39.196285529715766)	(22, 39.1588285960379)	(24, 39.12908053402239)	(26, 39.06340439276486)	(28, 39.01266149870801)	(30, 38.98532515073212)	(32, 38.94281869078381)	(34, 38.85081826012058)	(36, 38.80341895230682)	(38, 38.75589901208595)	(40, 38.724538263053134)	(42, 38.63384277906923)	(44, 38.54253907670909)	(46, 38.48014746502926)	(48, 38.417033597724014)	(50, 38.28942790952237)	(52, 38.109854450392476)	(54, 37.91967624840662)	(56, 37.69960142594834)	(58, 37.449451997050744)	(60, 37.18633144681522)	(62, 36.899602785517544)	(64, 36.51493861669304)	(66, 36.16320064785056)	(68, 35.82369185699578)	(70, 35.44560417606968)	(72, 35.05468823335377)	(74, 34.750298760959936)	(76, 33.90561892698304)	(78, 34.24347860421787)	(80, 34.152538837727604)	(82, 33.956626597595886)	(84, 33.825223378656474)	(86, 33.71390108043015)	(88, 33.58777882799842)	(90, 33.51470801105607)	(92, 33.45269011245014)	(94, 33.38680527107492)	(96, 33.34893144725412)	(98, 33.337818802432025)	(100, 31.12625785739337)
g1_02_R1_unpaired	(1, 28.74300441826215)	(2, 28.692930780559646)	(3, 28.843888070692195)	(4, 32.04860088365243)	(5, 32.00957290132548)	(6, 32.130338733431515)	(7, 32.34977908689249)	(8, 32.19440353460972)	(9, 33.362297496318114)	(10, 32.94329896907216)	(12, 32.89469808541973)	(14, 33.36487481590574)	(16, 33.443667157584684)	(18, 33.508468335787924)	(20, 33.2901325478645)	(22, 33.30081001472754)	(24, 33.58136966126657)	(26, 33.0500736377025)	(28, 33.19035346097202)	(30, 32.981222385861564)	(32, 33.0519145802651)	(34, 32.72164948453609)	(36, 32.723301513621045)	(38, 32.652837619365954)	(40, 32.4256656959592)	(42, 32.471152930178874)	(44, 32.56181030921213)	(46, 32.496701110872934)	(48, 32.292175373949554)	(50, 32.60809355118566)	(52, 32.612443572129536)	(54, 32.22356988823017)	(56, 32.033078127126714)	(58, 32.09936657322601)	(60, 31.786276870345574)	(62, 31.864256872839746)	(64, 31.541470975317083)	(66, 31.60417028985507)	(68, 31.400362622641623)	(70, 31.134824584965166)	(72, 30.951201796090864)	(74, 30.882946751532195)	(76, 30.157820937247113)	(78, 30.57270930443233)	(80, 30.557771356550013)	(82, 30.575732062106695)	(84, 30.309324733237776)	(86, 30.49349980692496)	(88, 30.484253896186996)	(90, 30.738587848932678)	(92, 30.437010927576964)	(94, 30.56365107018417)	(96, 30.633649789029533)	(98, 30.89914720059325)	(100, 29.31578947368421)
g1_02_R2_paired	(1, 32.3172480620155)	(2, 32.42282515073213)	(3, 32.49334625322997)	(4, 36.047394487510765)	(5, 36.00770887166236)	(6, 36.04106373815676)	(7, 36.09261412575366)	(8, 36.093346253229974)	(9, 37.795585701981054)	(10, 37.74509043927648)	(12, 37.72706718346254)	(14, 39.12332041343669)	(16, 39.12608742463394)	(18, 39.11673126614987)	(20, 39.10927002583979)	(22, 39.0516149870801)	(24, 39.006686046511625)	(26, 38.98638027562446)	(28, 38.90882859603789)	(30, 38.8739556416882)	(32, 38.80329457364341)	(34, 38.74371231696813)	(36, 38.64981582108153)	(38, 38.626174444449596)	(40, 38.551461475921286)	(42, 38.399764965680006)	(44, 38.254178650569145)	(46, 38.205479097673376)	(48, 38.07629518867104)	(50, 37.280694234717416)	(52, 37.51750281307224)	(54, 37.864080656329136)	(56, 37.75058942224386)	(58, 37.48525444179397)	(60, 37.24300033401185)	(62, 36.96518558695038)	(64, 36.5854199878449)	(66, 36.21184638438345)	(68, 35.94284722921958)	(70, 35.54301640759121)	(72, 35.18596562712733)	(74, 34.81180615968714)	(76, 34.51965800016397)	(78, 34.25411357128978)	(80, 34.07268185790791)	(82, 33.78384973561192)	(84, 33.59999173169244)	(86, 33.42905230720089)	(88, 33.20555523700138)	(90, 33.12635083131076)	(92, 33.00654930568399)	(94, 32.96849744862648)	(96, 33.00835397377814)	(98, 33.11014024158817)	(100, 30.66046088894101)
g1_02_R2_unpaired	(1, 28.189714285714285)	(2, 27.902857142857144)	(3, 28.16914285714286)	(4, 31.905142857142856)	(5, 31.717714285714287)	(6, 31.501714285714286)	(7, 31.97942857142857)	(8, 31.352)	(9, 32.392)	(10, 32.39371428571428)	(12, 32.12228571428572)	(14, 32.82057142857143)	(16, 32.81371428571428)	(18, 33.12114285714286)	(20, 33.33428571428571)	(22, 32.876000000000005)	(24, 32.584)	(26, 32.69428571428571)	(28, 32.79085714285714)	(30, 32.725142857142856)	(32, 32.69542857142857)	(34, 32.428)	(36, 32.256704318936876)	(38, 32.21025673578784)	(40, 32.38641203739118)	(42, 32.08240531951367)	(44, 31.721772016605016)	(46, 31.919669219669224)	(48, 31.858761380014144)	(50, 31.253544524090593)	(52, 31.725370126751447)	(54, 32.06237911978086)	(56, 32.54721494962071)	(58, 32.20310102823568)	(60, 31.719058544915356)	(62, 31.892595215792)	(64, 31.3444306889283)	(66, 31.310413372487012)	(68, 31.206306306306306)	(70, 30.86556621590995)	(72, 30.289643728304718)	(74, 30.31215203771879)	(76, 30.57801178838413)	(78, 30.587827463395328)	(80, 30.557123870281764)	(82, 30.4276687420113)	(84, 30.23319267233741)	(86, 30.04037858422939)	(88, 29.92789751761154)	(90, 29.919900947664175)	(92, 30.100282510814864)	(94, 30.11702963744287)	(96, 30.268132076365532)	(98, 30.27874977218881)	(100, 29.039735099337747)
g1_03_R1_paired	(1, 32.497510930262756)	(2, 32.576338686636944)	(3, 32.49816025280291)	(4, 36.09997402709839)	(5, 36.083784251763994)	(6, 36.0934808016969)	(7, 36.132873035799314)	(8, 36.119561923726245)	(9, 37.85712739708238)	(10, 37.784803688152024)	(12, 37.797768494870354)	(14, 39.185782000779184)	(16, 39.16986277650318)	(18, 39.1635535258214)	(20, 39.16221159257175)	(22, 39.12711570927665)	(24, 39.10957317865028)	(26, 39.04614518851997)	(28, 39.00935024457816)	(30, 38.9744166919181)	(32, 38.89158477987966)	(34, 38.8372905934808)	(36, 38.79198878685463)	(38, 38.74801092816111)	(40, 38.7007980286819)	(42, 38.622638720841735)	(44, 38.543561155239054)	(46, 38.47124778005159)	(48, 38.42629015233235)	(50, 38.266010592433936)	(52, 38.092043402824885)	(54, 37.93554126448136)	(56, 37.708798759214204)	(58, 37.474134551862065)	(60, 37.19144124105519)	(62, 36.89590110965615)	(64, 36.53632416594982)	(66, 36.20344205975965)	(68, 35.876278501520524)	(70, 35.52279204422905)	(72, 35.12706160387373)	(74, 34.75827867757698)	(76, 33.94743934814829)	(78, 34.30206780640902)	(80, 34.21298134153429)	(82, 34.00279319380522)	(84, 33.87141635836418)	(86, 33.74704940755767)	(88, 33.592591326108774)	(90, 33.52763919865896)	(92, 33.47974916436611)	(94, 33.3864872059644)	(96, 33.35191162410688)	(98, 33.32513915047089)	(100, 31.13841982335096)
g1_03_R1_unpaired	(1, 28.73101490418737)	(2, 28.738112136266857)	(3, 28.701206529453515)	(4, 32.4513839602555)	(5, 32.1902058197303)	(6, 32.35486160397445)	(7, 32.40951029098652)	(8, 32.37615330021292)	(9, 33.169623846699785)	(10, 32.92476933995742)	(12, 32.857700496806245)	(14, 33.48438608942512)	(16, 33.23953158268276)	(18, 33.30127750177431)	(20, 33.658268275372606)	(22, 33.44783534421576)	(24, 33.080553584102205)	(26, 32.956352022711144)	(28, 32.98119233498936)	(30, 32.75621007806955)	(32, 32.907026259758695)	(34, 32.516323633782825)	(36, 32.605158007204125)	(38, 32.378198371314234)	(40, 32.64109169291211)	(42, 32.55685349303233)	(44, 32.56435647655832)	(46, 32.516827514138186)	(48, 32.3979881002775)	(50, 32.21158152432445)	(52, 32.26965509253071)	(54, 32.086690033600036)	(56, 32.27775137532763)	(58, 32.08818384055786)	(60, 31.87335432273007)	(62, 32.01712484446719)	(64, 31.46915853774908)	(66, 31.64619907562712)	(68, 31.282012744078106)	(70, 31.202140226157365)	(72, 30.548885546287433)	(74, 30.63870468611848)	(76, 29.975921139984827)	(78, 30.2594153908897)	(80, 30.532598342629946)	(82, 30.648185047634428)	(84, 30.73970507418941)	(86, 30.677020618556703)	(88, 30.141995843890705)	(90, 30.224952201356693)	(92, 30.70859781079924)	(94, 30.821404569892472)	(96, 30.79831028079275)	(98, 31.047614252145973)	(100, 29.375478927203066)
