Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
g1_01_R1_paired	(25.0, 3.0)	(26.0, 6.0)	(27.0, 31.0)	(28.0, 109.0)	(29.0, 265.0)	(30.0, 486.0)	(31.0, 990.0)	(32.0, 1638.0)	(33.0, 2347.0)	(34.0, 3258.0)	(35.0, 4615.0)	(36.0, 7703.0)	(37.0, 13414.0)	(38.0, 9943.0)	(39.0, 1056.0)	(40.0, 2.0)	
g1_01_R1_unpaired	(24.0, 2.0)	(25.0, 2.0)	(26.0, 19.0)	(27.0, 45.0)	(28.0, 80.0)	(29.0, 152.0)	(30.0, 288.0)	(31.0, 279.0)	(32.0, 246.0)	(33.0, 184.0)	(34.0, 76.0)	(35.0, 41.0)	(36.0, 18.0)	(37.0, 34.0)	(38.0, 33.0)	(39.0, 7.0)	
g1_01_R2_paired	(24.0, 1.0)	(25.0, 3.0)	(26.0, 14.0)	(27.0, 46.0)	(28.0, 126.0)	(29.0, 305.0)	(30.0, 585.0)	(31.0, 1102.0)	(32.0, 1837.0)	(33.0, 2457.0)	(34.0, 3457.0)	(35.0, 4913.0)	(36.0, 7812.0)	(37.0, 12819.0)	(38.0, 9374.0)	(39.0, 1015.0)	
g1_01_R2_unpaired	(24.0, 1.0)	(25.0, 1.0)	(26.0, 13.0)	(27.0, 20.0)	(28.0, 82.0)	(29.0, 148.0)	(30.0, 186.0)	(31.0, 189.0)	(32.0, 153.0)	(33.0, 107.0)	(34.0, 62.0)	(35.0, 15.0)	(36.0, 17.0)	(37.0, 16.0)	(38.0, 6.0)	(39.0, 1.0)	
g1_02_R1_paired	(25.0, 2.0)	(26.0, 7.0)	(27.0, 40.0)	(28.0, 104.0)	(29.0, 244.0)	(30.0, 528.0)	(31.0, 968.0)	(32.0, 1481.0)	(33.0, 2147.0)	(34.0, 3022.0)	(35.0, 4588.0)	(36.0, 7752.0)	(37.0, 13808.0)	(38.0, 10532.0)	(39.0, 1217.0)		
g1_02_R1_unpaired	(25.0, 5.0)	(26.0, 22.0)	(27.0, 50.0)	(28.0, 79.0)	(29.0, 146.0)	(30.0, 222.0)	(31.0, 247.0)	(32.0, 211.0)	(33.0, 145.0)	(34.0, 94.0)	(35.0, 38.0)	(36.0, 31.0)	(37.0, 31.0)	(38.0, 36.0)	(39.0, 1.0)		
g1_02_R2_paired	(24.0, 1.0)	(25.0, 1.0)	(26.0, 14.0)	(27.0, 53.0)	(28.0, 115.0)	(29.0, 256.0)	(30.0, 565.0)	(31.0, 1035.0)	(32.0, 1684.0)	(33.0, 2392.0)	(34.0, 3345.0)	(35.0, 4875.0)	(36.0, 7970.0)	(37.0, 13476.0)	(38.0, 9602.0)	(39.0, 1055.0)	(40.0, 1.0)
g1_02_R2_unpaired	(24.0, 1.0)	(25.0, 3.0)	(26.0, 13.0)	(27.0, 28.0)	(28.0, 72.0)	(29.0, 116.0)	(30.0, 170.0)	(31.0, 158.0)	(32.0, 119.0)	(33.0, 84.0)	(34.0, 52.0)	(35.0, 19.0)	(36.0, 14.0)	(37.0, 12.0)	(38.0, 13.0)	(39.0, 1.0)	
g1_03_R1_paired	(26.0, 14.0)	(27.0, 36.0)	(28.0, 102.0)	(29.0, 245.0)	(30.0, 511.0)	(31.0, 964.0)	(32.0, 1500.0)	(33.0, 2223.0)	(34.0, 3062.0)	(35.0, 4462.0)	(36.0, 7446.0)	(37.0, 13678.0)	(38.0, 10745.0)	(39.0, 1214.0)			
g1_03_R1_unpaired	(25.0, 2.0)	(26.0, 18.0)	(27.0, 46.0)	(28.0, 102.0)	(29.0, 149.0)	(30.0, 240.0)	(31.0, 271.0)	(32.0, 216.0)	(33.0, 145.0)	(34.0, 76.0)	(35.0, 41.0)	(36.0, 41.0)	(37.0, 32.0)	(38.0, 25.0)	(39.0, 5.0)		
