Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
g1_01_R1_paired	(1.0, 66.62887541970088)	(2.0, 13.05106178868879)	(3.0, 5.72973444381459)	(4.0, 3.305280600008721)	(5.0, 2.409191994069681)	(6.0, 1.6744429424846292)	(7.0, 1.2972572275759824)	(8.0, 1.0116426110844634)	(9.0, 0.7652727510574281)	('>10', 4.009505952121397)	('>50', 0.1177342693934505)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_01_R1_unpaired	(1.0, 98.14077025232405)	(2.0, 1.859229747675963)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_01_R2_paired	(1.0, 66.47843718658702)	(2.0, 13.548162037238914)	(3.0, 5.461561941307287)	(4.0, 3.331443770985043)	(5.0, 2.4418959577900843)	(6.0, 1.5305455021148562)	(7.0, 1.3277809270483583)	(8.0, 1.0290847250686783)	(9.0, 0.6867832381284611)	('>10', 4.164304713731305)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_01_R2_unpaired	(1.0, 99.21337266470009)	(2.0, 0.7866273352999017)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_02_R1_paired	(1.0, 68.82213608957795)	(2.0, 13.023255813953488)	(3.0, 5.348837209302325)	(4.0, 3.0146425495262705)	(5.0, 1.905684754521964)	(6.0, 1.5116279069767442)	(7.0, 1.2812230835486649)	(8.0, 0.8957795004306632)	(9.0, 0.5426356589147286)	('>10', 3.6541774332472006)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_02_R1_unpaired	(1.0, 99.41089837997055)	(2.0, 0.5891016200294551)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_02_R2_paired	(1.0, 69.35400516795866)	(2.0, 13.031869078380707)	(3.0, 5.032299741602067)	(4.0, 3.083548664944014)	(5.0, 1.959517657192076)	(6.0, 1.4341085271317828)	(7.0, 1.1304909560723515)	(8.0, 0.9130060292850991)	(9.0, 0.7558139534883721)	('>10', 3.305340223944875)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_02_R2_unpaired	(1.0, 99.77142857142857)	(2.0, 0.2285714285714286)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_03_R1_paired	(1.0, 66.36509242024154)	(2.0, 13.250508635989783)	(3.0, 5.545214492879096)	(4.0, 3.3678195749101767)	(5.0, 2.434959525561664)	(6.0, 1.727197956798407)	(7.0, 1.3635773343145319)	(8.0, 1.0562313319769707)	(9.0, 0.8960651054066923)	('>10', 3.9933336219211286)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_03_R1_unpaired	(1.0, 98.86444286728177)	(2.0, 1.1355571327182399)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_03_R2_paired	(1.0, 67.00575732652267)	(2.0, 13.142288212631486)	(3.0, 5.6231331976970695)	(4.0, 3.3158737716981945)	(5.0, 2.1319423401584348)	(6.0, 1.4414960391325051)	(7.0, 1.5150859270161465)	(8.0, 0.7791870481797325)	(9.0, 0.7402276957707459)	('>10', 4.3050084411930225)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g1_03_R2_unpaired	(1.0, 99.30555555555556)	(2.0, 0.6944444444444444)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_01_R1_paired	(1.0, 67.50903308163309)	(2.0, 13.358142755143989)	(3.0, 5.303013912027521)	(4.0, 3.124256258248772)	(5.0, 1.9688872541595448)	(6.0, 1.8044527142517146)	(7.0, 0.9844436270797724)	(8.0, 1.0385339362599797)	(9.0, 0.8567904974144832)	('>10', 4.052445963781129)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_01_R1_unpaired	(1.0, 98.8036593947924)	(2.0, 0.9852216748768473)	(3.0, 0.211118930330753)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_01_R2_paired	(1.0, 67.77732101516692)	(2.0, 12.934074731171163)	(3.0, 5.698954975226638)	(4.0, 3.1675285055929376)	(5.0, 2.3475194184209958)	(6.0, 1.5578009043899694)	(7.0, 1.1964776390661849)	(8.0, 0.6923559575066531)	(9.0, 0.7204829182803609)	('>10', 3.9074839351781736)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_01_R2_unpaired	(1.0, 99.55005624296963)	(2.0, 0.44994375703037126)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_02_R1_paired	(1.0, 62.567134442134446)	(2.0, 13.167013167013167)	(3.0, 5.94464656964657)	(4.0, 3.9760914760914763)	(5.0, 2.598752598752599)	(6.0, 1.8581081081081081)	(7.0, 1.5462577962577964)	(8.0, 1.541926541926542)	(9.0, 1.033004158004158)	('>10', 5.767065142065142)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_02_R1_unpaired	(1.0, 98.51961509992599)	(2.0, 1.4803849000740192)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
g3_02_R2_paired	(1.0, 62.93962231462231)	(2.0, 13.322938322938324)	(3.0, 5.847193347193348)	(4.0, 3.646916146916147)	(5.0, 2.642065142065142)	(6.0, 1.8321205821205822)	(7.0, 1.409823284823285)	(8.0, 1.2993762993762994)	(9.0, 1.1109667359667361)	('>10', 5.834199584199585)	('>50', 0.11477823977823977)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
