Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
g1_01_R1_paired	g1_01_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	45866.0	0.0	36-100	40.0	77.33397287751276	97.35518684864606	100	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
g1_01_R1_unpaired	g1_01_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	1506.0	0.0	36-100	42.0	99.07038512616202	72.48406374501992	72	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
g1_01_R2_paired	g1_01_R2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	45866.0	0.0	36-100	40.0	77.33833340600881	96.47462172415297	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
g1_01_R2_unpaired	g1_01_R2_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	1017.0	0.0	36-100	40.0	99.60668633235005	70.34070796460178	68	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
g1_02_R1_paired	g1_02_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	46440.0	0.0	36-100	41.0	79.12144702842377	97.4828165374677	100	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
g1_02_R1_unpaired	g1_02_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	1358.0	0.0	36-100	42.0	99.70544918998527	71.22901325478645	70	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
g1_02_R2_paired	g1_02_R2_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	46440.0	0.0	36-100	41.0	79.54134366925064	96.5306632213609	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
g1_02_R2_unpaired	g1_02_R2_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	875.0	0.0	36-100	41.0	99.88571428571429	70.47714285714285	68	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
g1_03_R1_paired	g1_03_R1_paired.fastq	Conventional base calls	Sanger / Illumina 1.9	46202.0	0.0	36-100	41.0	77.15899744599801	97.56735639149821	100	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
g1_03_R1_unpaired	g1_03_R1_unpaired.fastq	Conventional base calls	Sanger / Illumina 1.9	1409.0	0.0	36-100	41.0	99.43222143364088	72.2473385379702	72	pass	pass	pass	fail	pass	pass	warn	pass	warn	pass
