Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
g1_01_R1_paired	22.666027122487236	40.0	97.35518684864606	100	10.0	0.045866
g1_01_R1_unpaired	0.929614873837977	42.0	72.48406374501992	72	10.0	0.001506
g1_01_R2_paired	22.661666593991185	40.0	96.47462172415297	100	10.0	0.045866
g1_01_R2_unpaired	0.3933136676499487	40.0	70.34070796460178	68	20.0	0.001017
g1_02_R1_paired	20.878552971576227	41.0	97.4828165374677	100	10.0	0.046439999999999995
g1_02_R1_unpaired	0.2945508100147265	42.0	71.22901325478645	70	10.0	0.0013579999999999998
g1_02_R2_paired	20.458656330749363	41.0	96.5306632213609	100	10.0	0.046439999999999995
g1_02_R2_unpaired	0.11428571428571388	41.0	70.47714285714285	68	10.0	0.0008749999999999999
g1_03_R1_paired	22.84100255400199	41.0	97.56735639149821	100	10.0	0.046202
g1_03_R1_unpaired	0.5677785663591237	41.0	72.2473385379702	72	10.0	0.0014089999999999999
g1_03_R2_paired	22.35184624042249	41.0	96.52653564780745	100	10.0	0.046202
g1_03_R2_unpaired	0.3472222222222143	40.0	69.90972222222223	66	10.0	0.000864
g3_01_R1_paired	21.91739327981999	40.0	97.60859170471018	100	10.0	0.046218999999999996
g3_01_R1_unpaired	0.6333567909922522	41.0	73.24313863476425	74	10.0	0.001421
g3_01_R2_paired	21.722668166771243	40.0	96.58468378805253	100	10.0	0.046218999999999996
g3_01_R2_unpaired	0.2249718785151913	40.0	70.9161979752531	70	10.0	0.0008889999999999999
g3_02_R1_paired	26.14561677061677	40.0	97.70867983367984	100	10.0	0.046175999999999995
g3_02_R1_unpaired	0.7401924500370143	41.0	72.99888971132495	72	10.0	0.001351
g3_02_R2_paired	25.81644144144144	40.0	96.73254504504504	100	10.0	0.046175999999999995
g3_02_R2_unpaired	0.725388601036272	40.0	70.13937823834196	68	10.0	0.0009649999999999999
g3_03_R1_paired	24.276178918169208	40.0	97.65603328710125	100	10.0	0.046144
g3_03_R1_unpaired	0.6118286879673605	41.0	73.26274643099931	74	10.0	0.0014709999999999999
g3_03_R2_paired	24.068134535367548	40.0	96.53276699029126	100	10.0	0.046144
g3_03_R2_unpaired	0.3432494279176268	39.0	69.23913043478261	66	10.0	0.000874
