Module	Section	Sample Name	Source
FastQC	all_sections	g1_01_R1_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_01_R1_paired_fastqc.zip
FastQC	all_sections	g1_01_R2_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_01_R2_paired_fastqc.zip
FastQC	all_sections	g3_03_R2_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_03_R2_paired_fastqc.zip
FastQC	all_sections	g3_02_R1_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_02_R1_paired_fastqc.zip
FastQC	all_sections	g3_03_R1_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_03_R1_unpaired_fastqc.zip
FastQC	all_sections	g1_01_R1_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_01_R1_unpaired_fastqc.zip
FastQC	all_sections	g1_03_R2_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_03_R2_paired_fastqc.zip
FastQC	all_sections	g1_02_R2_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_02_R2_paired_fastqc.zip
FastQC	all_sections	g1_03_R1_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_03_R1_unpaired_fastqc.zip
FastQC	all_sections	g3_02_R2_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_02_R2_unpaired_fastqc.zip
FastQC	all_sections	g3_01_R1_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_01_R1_unpaired_fastqc.zip
FastQC	all_sections	g1_02_R1_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_02_R1_paired_fastqc.zip
FastQC	all_sections	g3_03_R2_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_03_R2_unpaired_fastqc.zip
FastQC	all_sections	g3_03_R1_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_03_R1_paired_fastqc.zip
FastQC	all_sections	g1_03_R2_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_03_R2_unpaired_fastqc.zip
FastQC	all_sections	g1_01_R2_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_01_R2_unpaired_fastqc.zip
FastQC	all_sections	g3_02_R1_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_02_R1_unpaired_fastqc.zip
FastQC	all_sections	g1_02_R2_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_02_R2_unpaired_fastqc.zip
FastQC	all_sections	g3_01_R1_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_01_R1_paired_fastqc.zip
FastQC	all_sections	g3_01_R2_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_01_R2_unpaired_fastqc.zip
FastQC	all_sections	g1_03_R1_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_03_R1_paired_fastqc.zip
FastQC	all_sections	g3_01_R2_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_01_R2_paired_fastqc.zip
FastQC	all_sections	g3_02_R2_paired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g3_02_R2_paired_fastqc.zip
FastQC	all_sections	g1_02_R1_unpaired	/home/alejandro/Documentos/Bioinfo/NGS/TP_Final/TP_Final_RNAseq_mosca_2025/reportes_datos_trimming/g1_02_R1_unpaired_fastqc.zip
