ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	chromosome_name	start_position	end_position	description
FBgn0002521	232.696823437327	0.0637448399854459	0.134358879403315	0.474437121450667	0.635188226890197	0.953283741398195	pho	4	1172469	1181628	pleiohomeotic
FBgn0004607	421.144034977289	-0.0573474885693459	0.147506240694269	-0.388780083469201	0.697438835154411	0.953283741398195	zfh2	4	501810	540874	Zn finger homeodomain 2
FBgn0004859	661.906068173634	0.0932886990310189	0.128722346368287	0.724728080733636	0.468618864526942	0.953283741398195	ci	4	47710	57041	cubitus interruptus
FBgn0005558	32.5312850127801	-0.0184892088618911	0.362457615871195	-0.0510106783587671	0.959317011527646	0.97013688768005	ey	4	697689	721173	eyeless
FBgn0005561	47.3115129588417	-0.332064396073881	0.300641115478535	-1.10452090209062	0.269367241585833	0.953283741398195	sv	4	1088798	1113317	shaven
FBgn0005666	1016.59959138304	-1.19101763589013	0.341590129434667	-3.48668633330028	0.000489044570400393	0.00802033095456645	bt	4	724400	776474	bent
FBgn0010217	2878.7507938475	-0.646419554959863	0.167729104499366	-3.85394983708571	0.000116227418368827	0.00238266207656096	ATPsynbeta	4	1031484	1034917	ATP synthase, beta subunit
FBgn0011642	360.522330460181	0.0697902552556702	0.113433288889556	0.615253740228068	0.538387162497411	0.953283741398195	Zyx	4	1057365	1065001	Zyxin
FBgn0011747	859.071778400465	0.120277807966655	0.088113365357338	1.36503477626664	0.172242120060081	0.784658546940367	Ank	4	115074	129849	Ankyrin
FBgn0013749	180.565808734524	0.238251717237195	0.15332358861346	1.5539143023703	0.120204859667071	0.690804315629319	Arf4	4	1124167	1125325	ADP ribosylation factor 4
FBgn0016126	527.746614734406	0.358800753141022	0.115458893558827	3.10760602394141	0.00188609318281491	0.0193400395568762	CaMKI	4	445504	453947	Calcium/calmodulin-dependent protein kinase I
FBgn0017545	4009.35800436545	0.190355454705692	0.154803026272696	1.22966236054306	0.218823567236681	0.944396448074095	RpS3A	4	65225	67207	Ribosomal protein S3A
FBgn0019650	58.6269761991775	0.172424832265415	0.242920006882689	0.70980087016333	0.477827629416577	0.953283741398195	toy	4	989725	1007922	twin of eyeless
FBgn0019985	41.9381871032575	-0.186409766487647	0.324215452786237	-0.57495645221621	0.56532074916112	0.953283741398195	mGluR	4	936819	949441	metabotropic Glutamate Receptor
FBgn0022361	153.420190906115	0.0822044605023581	0.152733066211217	0.538223074685583	0.590423051570546	0.953283741398195	Pur-alpha	4	558016	567257	Purine-rich binding protein-alpha
FBgn0023213	1177.86394492893	0.0935820796290901	0.109160845975987	0.857286133983207	0.391286769766841	0.953283741398195	eIF4G1	4	915297	930715	eukaryotic translation initiation factor 4G1
FBgn0024728	258.110418262193	0.068218637950971	0.134598766177235	0.506829593527945	0.612274390000693	0.953283741398195	Slip1	4	663621	669884	SLo interacting protein 1
FBgn0024811	244.948346028002	-0.0107510816413217	0.135495882122124	-0.0793461873005969	0.93675726992654	0.97013688768005	Crk	4	210224	213165	Crk oncogene
