ID	g1_01	g1_02	g1_03	g3_01	g3_02	g3_03	external_gene_name	chromosome_name	start_position	end_position	description
FBgn0002521	7.80654758277258	7.81221407545756	7.89016805961652	7.82012065152534	7.81484038888723	8.05072062254304	pho	4	1172469	1181628	pleiohomeotic
FBgn0004607	8.9102328872445	8.58983071795569	8.73268772917356	8.48812359904029	8.44998018131461	9.05603473535736	zfh2	4	501810	540874	Zn finger homeodomain 2
FBgn0004859	9.38297065768766	9.39504260090184	9.18961580582927	9.24108797134294	9.19953681302637	9.74738867778156	ci	4	47710	57041	cubitus interruptus
FBgn0005558	5.14420703159363	5.17467054995266	4.88920317135383	4.74685095458655	5.19914185805862	5.18920033285942	ey	4	697689	721173	eyeless
FBgn0005561	5.61793061645645	5.86277788782139	5.75964206053737	5.89243679045429	5.06556014352821	5.14968770613304	sv	4	1088798	1113317	shaven
FBgn0005666	9.91754747639216	10.7845974899419	10.5636847151099	9.33604444629728	9.5945574205954	8.78658203507573	bt	4	724400	776474	bent
FBgn0010217	11.4329815534171	12.024817889645	11.8177682657781	11.0697339923409	11.3628139769942	10.9319321319943	ATPsynbeta	4	1031484	1034917	ATP synthase, beta subunit
FBgn0011642	8.52050631029799	8.40574592656565	8.4584966820131	8.48812359904029	8.58222533456324	8.52613083434414	Zyx	4	1057365	1065001	Zyxin
FBgn0011747	9.64245824136444	9.67906721055335	9.73791895793107	9.79214336607835	9.81697194758793	9.81209331240996	Ank	4	115074	129849	Ankyrin
FBgn0013749	7.21212202600158	7.48058696272349	7.43301513245402	7.52250241240042	7.83550741369108	7.47114989951673	Arf4	4	1124167	1125325	ADP ribosylation factor 4
FBgn0016126	8.96227770407904	8.75306242428641	8.84282529354122	9.053665272559	9.43217133714266	9.13150200140072	CaMKI	4	445504	453947	Calcium/calmodulin-dependent protein kinase I
FBgn0017545	11.85657259047	11.823062262062	11.9316734079954	11.8048876973351	12.2973024743837	12.040556403512	RpS3A	4	65225	67207	Ribosomal protein S3A
FBgn0019650	5.88087604022876	5.78615202350612	5.75964206053737	5.96056054917787	6.06734527453953	5.91026138200046	toy	4	989725	1007922	twin of eyeless
FBgn0019985	5.61793061645645	5.61949130516858	5.27941092613641	5.79629281373739	5.01813534144226	5.02420975788297	mGluR	4	936819	949441	metabotropic Glutamate Receptor
FBgn0022361	7.24983712874692	7.20452010362064	7.2317797296886	7.17603539075381	7.34301390438267	7.40556697621317	Pur-alpha	4	558016	567257	Purine-rich binding protein-alpha
FBgn0023213	10.1584387360003	10.1405858613525	10.1667227339692	10.1696799515385	10.4524684152002	10.1020271067383	eIF4G1	4	915297	930715	eukaryotic translation initiation factor 4G1
FBgn0024728	7.98487120630599	8.06555858841909	7.89637380053837	8.22281358698141	7.8957893648586	8.01268334425165	Slip1	4	663621	669884	SLo interacting protein 1
FBgn0024811	7.9336496237363	7.85034977182087	8.04900971684371	7.82012065152534	8.10318157691271	7.87408617687644	Crk	4	210224	213165	Crk oncogene
FBgn0024913	6.2406737519906	6.3267480918676	5.81310326017449	5.6388791141948	6.09045720526423	6.24623916535073	Actbeta	4	1077331	1084796	Activin-beta
FBgn0025726	9.88196085986233	9.97929065270695	9.93315822397752	9.92453291775127	9.97899949549791	9.96361946447778	unc-13	4	867824	912331	unc-13
FBgn0025740	7.95663957093527	7.96486326952977	7.63949123226549	7.77668970164952	7.49797451444477	7.86801203422443	PlexB	4	32478	43778	Plexin B
FBgn0025741	9.60293078842068	9.71395889746964	9.60782220485459	9.59549658703638	9.63638201744834	9.70371894520377	PlexA	4	1009895	1027101	Plexin A
FBgn0025936	8.79058328393844	8.87831462951977	8.78044336251804	8.88862004223131	8.8151060224875	8.81842987910684	Eph	4	610684	622470	Eph receptor tyrosine kinase
FBgn0026199	7.88654058758546	7.75305109238708	7.94508154658468	7.95982031633297	8.14793317602882	8.10853821446598	myo	4	690686	696055	myoglianin
FBgn0026262	9.07425143073387	8.95031485916106	9.10104360386046	9.18523874495891	9.11189516383033	9.05068164522555	Taf3	4	459887	466828	TBP-associated factor 3
FBgn0026777	8.32235051699663	8.24803880850676	8.26583832848297	8.36784424602056	8.61845326142204	8.21286964929832	Rad23	4	308093	310822	Rad23
FBgn0026869	9.25667166740341	9.20208929864063	9.26589143010092	9.29265475388414	9.31931577865829	9.20803394544864	Tdg	4	538332	557854	Thymine DNA glycosylase
FBgn0027101	8.3914710456712	8.44365871677136	8.40291568434646	8.54839460822988	8.70710269826884	8.50671414026017	Dyrk3	4	1225089	1230713	Dual-specificity tyrosine phosphorylation-regulated kinase 3
FBgn0028996	7.03982890983869	7.07093373337765	7.06550382314745	7.09752575943755	6.7576829249721	7.33686017304673	onecut	4	598555	607649	onecut
FBgn0039889	7.07176743911625	6.88748266155523	7.15103594042541	6.91499488084717	7.18019641798711	6.95662665190246	Arl4	4	177348	179389	ADP ribosylation factor-like 4
FBgn0039890	8.39568306932923	8.4142575112229	8.64326789503103	8.52608700432572	8.6342670939521	8.56043563883094	Abcd1	4	184076	193829	ATP binding cassette subfamily D member 1
FBgn0039896	7.1831742365686	7.07093373337765	7.26093042503243	5.91550398387961	6.36140507673187	6.67982164918262	yellow-h	4	227922	230428	yellow-h
FBgn0039897	8.09257757788925	8.91476385997293	8.78044336251804	8.25029044266511	8.30437806589152	7.75406311709925	CG1674	4	230730	245903	
FBgn0039900	6.6320163033412	6.23363462674955	6.44133967648293	6.04665999040426	5.8677721418007	5.97950793344798	Syt7	4	278685	306481	Synaptotagmin 7
FBgn0039902	7.95092633855196	8.01608927553054	8.15633158892532	7.87410555289694	8.27945384078607	7.87408617687644	Zip102B	4	310930	314087	Zinc/iron regulated transporter-related protein 102B
FBgn0039904	8.7251464672172	8.82823739009111	8.81032916655863	8.85620151105505	8.8151060224875	8.97640082309977	Hcf	4	359938	375554	Host cell factor
FBgn0039907	8.40824585580092	8.58983071795569	8.57139773303439	8.55575447792905	8.48528550175419	8.67967043176706	lgs	4	436957	443911	legless
FBgn0039908	8.04510208128746	8.20943553317276	8.08748711278962	8.07698460108171	7.86261081889603	7.83725168731271	Asator	4	469409	488994	Asator
FBgn0039909	8.57723544230886	9.11339653597709	8.88712419485235	8.36365698977728	8.48091929757814	8.11880601877589	ND-49	4	568296	571554	NADH dehydrogenase (ubiquinone) 49 kDa subunit
FBgn0039911	5.46598684133687	5.67721070297573	5.49102980209317	5.29632221969253	5.19914185805862	5.37199694180647	CG1909	4	583108	589348	
